BASLIK;MARKA;MODEL;TEMEL OZELLIKLER - Seri;TEMEL OZELLIKLER - Donanim Paketi;TEMEL OZELLIKLER - Model Yillari;TEMEL OZELLIKLER - Ait Oldugu Ulke;TEMEL OZELLIKLER - Yakit Turu;TEMEL OZELLIKLER - Arac Turu;TEMEL OZELLIKLER - Govde Tipi;TEMEL OZELLIKLER - Segment;TEMEL OZELLIKLER - Motor Tipi;TEMEL OZELLIKLER - Yakit Tipi;MOTOR (Icten Yanmali) - Besleme Tipi;MOTOR (Icten Yanmali) - Silindir Adedi;MOTOR (Icten Yanmali) - Silindir Hacmi;MOTOR (Icten Yanmali) - Yakit Puskurtme;MOTOR (Elektrikli) - Batarya Kapasitesi;MOTOR (Elektrikli) - Batarya Tipi;MOTOR (Elektrikli) - Menzil (WLTP - Birlesik);MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici);MOTOR (Elektrikli) - Motor Gucu;MOTOR (Elektrikli) - Ortalama Tuketim (Elk.);MOTOR (Elektrikli) - Sarj Suresi;EKONOMI - MTV;PERFORMANS - Azami Hiz;PERFORMANS - Azami Tork;PERFORMANS - Beygir Gucu;PERFORMANS - 0 - 100 Km Hizlanma;AGIRLIK & OLCULER - Agirlik;AGIRLIK & OLCULER - Genislik;AGIRLIK & OLCULER - Uzunluk;AGIRLIK & OLCULER - Yukseklik;BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk);BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk);DIS GOVDE - Kapi Sayisi;LASTIK & JANT - Lastik Ebatlari;LASTIK & JANT - Taban Genisligi;LASTIK & JANT - Kesit Orani;LASTIK & JANT - Jant Capi;SANZIMAN & CEKIS SISTEMI - Cekis;SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi;SANZIMAN & CEKIS SISTEMI - Sanziman Turu;SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi;SANZIMAN & CEKIS SISTEMI - Sanziman Modeli;YAKIT TUKETIMI & EMISYON - Emisyon Standardi;YAKIT TUKETIMI & EMISYON - Ortalama Emisyon;YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km);YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi (lt);YOLCU EMNIYETI - Hava Yastigi Adedi;YOLCU EMNIYETI - NCAP/ANCAP Adedi;GOSTERGELER & SENSORLER - Far Sensoru;GOSTERGELER & SENSORLER - Lastik Basinc Sensoru;GOSTERGELER & SENSORLER - Park Sensoru & Yardimi;GOSTERGELER & SENSORLER - Yagmur Sensoru;ISITMA & SOGUTMA - Klima;KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi;KOLTUKLAR & IC DOSEME - Koltuk Sayisi;KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari;KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari;LAMBALAR & AYDINLATMA - Far Tipi;LAMBALAR & AYDINLATMA - Sis Farlari
Mazda 2 1.5 102 PS Go;Mazda;2;2;Go;2014;Japonya;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Benzin;Atmosferik;4;1498;Cok Noktadan Enjeksiyon;;;;;;;;3661;186;133;102;10,7;1015;1695;3920;1475;469;950;5;185/55 R15;185;55%;15;Onden Cekisli;Yok;Manuel;5 ileri;Manuel;EURO 5;132;5,42;4,8;5,7;43;6;4;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Mazda 2 1.5 102 PS Otomatik Go;Mazda;2;2;Go;2014;Japonya;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Benzin;Atmosferik;4;1498;Cok Noktadan Enjeksiyon;;;;;;;;3661;170;133;102;11,9;1035;1695;3920;1475;469;950;5;185/55 R15;185;55%;15;Onden Cekisli;Yok;Otomatik;4 ileri;Tork Konvertörlü;EURO 5;145;6,94;5,3;8,1;43;6;4;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Mazda 2 1.5 102 PS Otomatik Play;Mazda;2;2;Go;2014;Japonya;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Benzin;Atmosferik;4;1498;Cok Noktadan Enjeksiyon;;;;;;;;3661;170;133;102;11,9;1035;1695;3920;1475;469;950;5;195/45 R16;195;45%;16;Onden Cekisli;Yok;Otomatik;4 ileri;Tork Konvertörlü;EURO 5;145;6,94;5,3;8,1;43;6;4;Var;Yok;Yok;Var;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Yok
Peugeot 208 1.0 PureTech 68 HP Access;Peugeot;208;208;Access;2014, 2015;Fransa;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Benzin;Atmosferik;3;999;Cok Noktadan Enjeksiyon;;;;;;;;1882;165;95;68;14;975;2004;3962;1460;286;1076;5;185/65 R15;185;65%;15;Onden Cekisli;Yok;Manuel;5 ileri;Manuel;EURO 5;99;4,6;3,8;5,1;50;2;5;Yok;Yok;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 208 1.2 PureTech 82 HP Access;Peugeot;208;208;Access;2015, 2016, 2017, 2018;Fransa;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Benzin;Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;;;;;1882;175;118;82;12,2;975;1829;3962;1460;286;1076;5;185/65 R15;185;65%;15;Onden Cekisli;Yok;Manuel;5 ileri;Manuel;EURO 5;104;4,87;3,9;5,5;50;2;5;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 208 1.2 PureTech 82 HP ESP Active;Peugeot;208;208;Active;2015;Fransa;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Benzin;Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;;;;;1882;175;118;82;12,2;975;1829;3962;1460;286;1076;5;185/65 R15;185;65%;15;Onden Cekisli;Yok;Manuel;5 ileri;Manuel;EURO 5;104;4,87;3,9;5,5;50;4;5;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 208 1.2 PureTech 82 HP ETG5 Access;Peugeot;208;208;Access;2015, 2016;Fransa;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Benzin;Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;;;;;1882;177;118;82;14,8;1075;1829;3962;1460;286;1076;5;185/65 R15;185;65%;15;Onden Cekisli;Yok;Otomatik;5 ileri;ETG5 (YO);EURO 5;110;5,23;4,2;5,9;50;2;5;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 208 1.2 PureTech 82 HP ETG5 Active;Peugeot;208;208;Active;2015, 2016;Fransa;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Benzin;Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;;;;;1882;177;118;82;14,8;1075;1829;3962;1460;286;1076;5;185/65 R15;185;65%;15;Onden Cekisli;Yok;Otomatik;5 ileri;ETG5 (YO);EURO 5;110;5,23;4,2;5,9;50;4;5;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 208 1.2 PureTech 82 HP ETG5 ESP Active;Peugeot;208;208;Active;2015;Fransa;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Benzin;Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;;;;;1882;177;118;82;14,8;1075;1829;3962;1460;286;1076;5;185/65 R15;185;65%;15;Onden Cekisli;Yok;Otomatik;5 ileri;ETG5 (YO);EURO 5;110;5,23;4,2;5,9;50;4;5;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
Peugeot 208 1.4 e-HDi 68 HP S&S ESP Auto5R Active;Peugeot;208;208;Active;2015;Fransa;Fosil Yakıt;Binek;Hatchback;B;Icten Yanmali (Standart);Dizel;Turbo;4;1397;Common Rail Direkt Enjeksiyon;;;;;;;;3661;165;160;68;16,2;1060;1829;3962;1460;286;1076;5;185/65 R15;185;65%;15;Onden Cekisli;Yok;Otomatik;5 ileri;Auto5R (YO);EURO 5;87;3,51;3,2;3,6;50;4;5;Yok;Var;Yok;Yok;Manuel Klima;Kumas;5;Manuel;Manuel; Halojen; Yok
