TEMEL BILGILER - Baslik;TEMEL BILGILER - Arac Turu;TEMEL BILGILER - Govde Tipi;TEMEL BILGILER - Segment;TEMEL BILGILER - Marka;TEMEL BILGILER - Seri;TEMEL BILGILER - Model;TEMEL BILGILER - Donanim Paketi;TEMEL BILGILER - Model Yili;TEMEL BILGILER - Uretim Ulkesi;MOTOR - Yakit Turu;MOTOR - Yakit Tipi;MOTOR - Motor Tipi;MOTOR (Fosil Yakit) - Besleme Tipi;MOTOR (Fosil Yakit) - Silindir Adedi;MOTOR (Fosil Yakit) - Silindir Hacmi;MOTOR (Fosil Yakit) - Yakit Puskurtme;MOTOR (Elektrik) - Motor Gucu;MOTOR (Elektrik) - Batarya Kapasitesi;MOTOR (Elektrik) - Batarya Tipi;SANZIMAN - Sanziman Turu;SANZIMAN - Sanziman Modeli;SANZIMAN - Vites Sayisi;PERFORMANS - PERFORMANS PUANI;PERFORMANS - Beygir Gucu;PERFORMANS - Azami Tork;PERFORMANS - Azami Hiz;PERFORMANS - 0-100 Km Hizlanma;CEKIS SISTEMI - Cekis Turu;CEKIS SISTEMI - Cekis Kontrol Sistemi;BOYUTLAR - KONFOR PUANI;BOYUTLAR - Ic Hacim;BOYUTLAR - Uzunluk;BOYUTLAR - Genislik;BOYUTLAR - Yukseklik;BOYUTLAR - Ağirlik;BOYUTLAR - Bagaj Hacmi (Standart);BOYUTLAR - Bagaj Hacmi (Genisletilmis);LASTIK & JANT - Lastik Ebatlari;LASTIK & JANT - Jant Capi;LASTIK & JANT - Kesit Orani;LASTIK & JANT - Taban Genisliği;DIS DONANIM - Kapi Sayisi;DIS DONANIM- Far Tipi;DIS DONANIM- Sis Farlari;IC DONANIM - Koltuk Sayisi;IC DONANIM - Doseme Tipi;IC DONANIM - Surucu Koltuğu Ayarlari;IC DONANIM - On Yolcu Koltuğu Ayarlari;IC DONANIM - Klima;SENSORLER - Far Sensoru;SENSORLER - Yağmur Sensoru;SENSORLER - Lastik Basinc Sensoru;SENSORLER - Park Sensoru & Yardimcisi;GUVENLIK - GUVEN PUANI;GUVENLIK - Hava Yastiği Adedi;GUVENLIK - NCAP/ANCAP Puani;EKONOMI - EKO PUANI;EKONOMI - Tahmini Bakim Masrafi;EKONOMI - Yillik MTV Tutari;EKONOMI - Ortalama Yakit Tuketimi (100 km);EKONOMI - Sehir Ici Tuketim (100 km);EKONOMI - Sehir Disi Tuketim (100 km);EKONOMI (Fosil Yakit) - Yakit Kapasitesi (lt);EKONOMI (Elektrik) - Menzil (WLTP - Birlesik);EKONOMI (Elektrik) - Menzil (WLTP - Sehir Ici);EKONOMI (Elektrik) - Sarj Suresi;EMISYON - Emisyon Standardi;EMISYON - Ortalama Emisyon
Mazda 2 1.5 102 PS Go;Binek;Hatchback;B;Mazda;2;2;Go;2014;Japonya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;4;1498;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;50;102;133;186;10,7;Onden Cekisli;Yok;56;59;3920;1695;1475;1015;469;950;185/55 R15;15;55%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Yok;Yok;79;6;4;85;84;3661;5,42;5,7;4,8;43;;;;EURO 5;132
Mazda 2 1.5 102 PS Otomatik Go;Binek;Hatchback;B;Mazda;2;2;Go;2014;Japonya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;4;1498;Cok Noktadan Enjeksiyon;;;;Otomatik;Tork Konvertorlu;4 ileri;47;102;133;170;11,9;Onden Cekisli;Yok;57;59;3920;1695;1475;1035;469;950;185/55 R15;15;55%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Yok;Yok;80;6;4;77;77;3661;6,94;8,1;5,3;43;;;;EURO 5;145
Mazda 2 1.5 102 PS Otomatik Play;Binek;Hatchback;B;Mazda;2;2;Go;2014;Japonya;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;4;1498;Cok Noktadan Enjeksiyon;;;;Otomatik;Tork Konvertorlu;4 ileri;47;102;133;170;11,9;Onden Cekisli;Yok;60;59;3920;1695;1475;1035;469;950;195/45 R16;16;45%;195;5;Halojen;Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Var;Var;Yok;Yok;80;6;4;76;77;3661;6,94;8,1;5,3;43;;;;EURO 5;145
Peugeot 208 1.0 PureTech 68 HP Access;Binek;Hatchback;B;Peugeot;208;208;Access;2014, 2015;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;999;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;41;68;95;165;14;Onden Cekisli;Yok;61;70;3962;2004;1460;975;286;1076;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Yok;Yok;85;2;5;96;93;1882;4,6;5,1;3,8;50;;;;EURO 5;99
Peugeot 208 1.2 PureTech 82 HP Access;Binek;Hatchback;B;Peugeot;208;208;Access;2015, 2016, 2017, 2018;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;46;82;118;175;12,2;Onden Cekisli;Yok;59;63;3962;1829;1460;975;286;1076;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;84;2;5;95;91;1882;4,87;5,5;3,9;50;;;;EURO 5;104
Peugeot 208 1.2 PureTech 82 HP ESP Active;Binek;Hatchback;B;Peugeot;208;208;Active;2015;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;Manuel;Manuel;5 ileri;46;82;118;175;12,2;Onden Cekisli;Yok;59;63;3962;1829;1460;975;286;1076;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;94;4;5;95;91;1882;4,87;5,5;3,9;50;;;;EURO 5;104
Peugeot 208 1.2 PureTech 82 HP ETG5 Access;Binek;Hatchback;B;Peugeot;208;208;Access;2015, 2016;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;Otomatik;ETG5 (YO);5 ileri;43;82;118;177;14,8;Onden Cekisli;Yok;61;63;3962;1829;1460;1075;286;1076;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;85;2;5;90;84;1882;5,23;5,9;4,2;50;;;;EURO 5;110
Peugeot 208 1.2 PureTech 82 HP ETG5 Active;Binek;Hatchback;B;Peugeot;208;208;Active;2015, 2016;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;Otomatik;ETG5 (YO);5 ileri;43;82;118;177;14,8;Onden Cekisli;Yok;61;63;3962;1829;1460;1075;286;1076;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;95;4;5;90;84;1882;5,23;5,9;4,2;50;;;;EURO 5;110
Peugeot 208 1.2 PureTech 82 HP ETG5 ESP Active;Binek;Hatchback;B;Peugeot;208;208;Active;2015;Fransa;Fosil Yakit;Benzin;Icten Yanmali (Standart);Atmosferik;3;1199;Cok Noktadan Enjeksiyon;;;;Otomatik;ETG5 (YO);5 ileri;43;82;118;177;14,8;Onden Cekisli;Yok;61;63;3962;1829;1460;1075;286;1076;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;95;4;5;90;84;1882;5,23;5,9;4,2;50;;;;EURO 5;110
Peugeot 208 1.4 e-HDi 68 HP S&S ESP Auto5R Active;Binek;Hatchback;B;Peugeot;208;208;Active;2015;Fransa;Fosil Yakit;Dizel;Icten Yanmali (Standart);Turbo;4;1397;Common Rail Direkt Enjeksiyon;;;;Otomatik;Auto5R (YO);5 ileri;42;68;160;165;16,2;Onden Cekisli;Yok;60;63;3962;1829;1460;1060;286;1076;185/65 R15;15;65%;185;5; Halojen; Yok;5;Kumas;Manuel;Manuel;Manuel Klima;Yok;Yok;Var;Yok;95;4;5;90;80;3661;3,51;3,6;3,2;50;;;;EURO 5;87
