TEMEL BILGILER - Baslik,TEMEL BILGILER - Arac Turu,TEMEL BILGILER - Govde Tipi,TEMEL BILGILER - Segment,TEMEL BILGILER - Marka,TEMEL BILGILER - Seri,TEMEL BILGILER - Model,TEMEL BILGILER - Donanim Paketi,TEMEL BILGILER - Model Yili,TEMEL BILGILER - Uretim Ulkesi,MOTOR - Yakit Turu,MOTOR - Yakit Tipi,MOTOR - Motor Tipi,MOTOR (Fosil Yakit) - Besleme Tipi,MOTOR (Fosil Yakit) - Silindir Adedi,MOTOR (Fosil Yakit) - Silindir Hacmi,MOTOR (Fosil Yakit) - Yakit Puskurtme,MOTOR (Elektrik) - Motor Gucu,MOTOR (Elektrik) - Batarya Kapasitesi,MOTOR (Elektrik) - Batarya Tipi,SANZIMAN - Sanziman Turu,SANZIMAN - Sanziman Modeli,SANZIMAN - Vites Sayisi,PERFORMANS - PERFORMANS PUANI,PERFORMANS - Beygir Gucu,PERFORMANS - Azami Tork,PERFORMANS - Azami Hiz,PERFORMANS - 0-100 Km Hizlanma,CEKIS SISTEMI - Cekis Turu,CEKIS SISTEMI - Cekis Kontrol Sistemi,BOYUTLAR - KONFOR PUANI,BOYUTLAR - Ic Hacim,BOYUTLAR - Uzunluk,BOYUTLAR - Genislik,BOYUTLAR - Yukseklik,BOYUTLAR - Ağirlik,BOYUTLAR - Bagaj Hacmi (Standart),BOYUTLAR - Bagaj Hacmi (Genisletilmis),LASTIK & JANT - Lastik Ebatlari,LASTIK & JANT - Jant Capi,LASTIK & JANT - Kesit Orani,LASTIK & JANT - Taban Genisliği,DIS DONANIM - Kapi Sayisi,DIS DONANIM- Far Tipi,DIS DONANIM- Sis Farlari,IC DONANIM - Koltuk Sayisi,IC DONANIM - Doseme Tipi,IC DONANIM - Surucu Koltuğu Ayarlari,IC DONANIM - On Yolcu Koltuğu Ayarlari,IC DONANIM - Klima,SENSORLER - Far Sensoru,SENSORLER - Yağmur Sensoru,SENSORLER - Lastik Basinc Sensoru,SENSORLER - Park Sensoru & Yardimcisi,GUVENLIK - GUVEN PUANI,GUVENLIK - Hava Yastiği Adedi,GUVENLIK - NCAP/ANCAP Puani,EKONOMI - EKO PUANI,EKONOMI - Tahmini Bakim Masrafi,EKONOMI - Yillik MTV Tutari,EKONOMI - Ortalama Yakit Tuketimi (100 km),EKONOMI - Sehir Ici Tuketim (100 km),EKONOMI - Sehir Disi Tuketim (100 km),EKONOMI (Fosil Yakit) - Yakit Kapasitesi (lt),EKONOMI (Elektrik) - Menzil (WLTP - Birlesik),EKONOMI (Elektrik) - Menzil (WLTP - Sehir Ici),EKONOMI (Elektrik) - Sarj Suresi,EMISYON - Emisyon Standardi,EMISYON - Ortalama Emisyon
Citroen Ami One Electric 8 HP,Binek,Mini Elektrik,A,Citroen,Ami One,Ami One Electric,My Ami Pop,2024,Fransa,Elektrik,Elektrik,BEV (Elektrikli),Elektrik,Elektrik,Elektrik,Elektrik,6,5.5 kW/sa,Lityum Iyon,Otomatik,Şanzıman Bulunmuyor,Şanzıman Bulunmuyor,70.0,8,40,45,-,Onden Cekisli,Yok,66.0,50.0,2410,1360,1525,471,63,Koltuklar Katlanmıyor,155/65 R14,14,65%,155,2,LED,Var,2,Kumas,Manuel,Manuel,Yok,Yok,Yok,Var,Yok,90.0,0,2,90.0,100.0,1.207,,,,,75,75,4 Saat,Emisyon Yok,Emisyon Yok
Fiat Topolino 8.2 HP,Binek,Mini Elektrik,A,Fiat,Topolino,Topolino,Topolino,2024,Italya,Elektrik,Elektrik,BEV (Elektrikli),Elektrik,Elektrik,Elektrik,Elektrik,6,5.5 kWh,Lityum Iyon,Otomatik,Şanzıman Bulunmuyor,Şanzıman Bulunmuyor,90.0,8,45,45,-,Onden Cekisli,Yok,93.0,100.0,2535,1400,1530,487,63,Koltuklar Katlanmıyor,145/70 R14,14,70%,145,2,LED,Var,2,Deri,Manuel,Manuel,Yok,Yok,Yok,Var,Yok,100.0,0,2,100.0,100.0,1.207,,,,,75,75,4 Saatte %100 Sarj (Standart Elektrik Prizi Ile),Emisyon Yok,Emisyon Yok
Fiat Topolino Plus 8.2 HP,Binek,Mini Elektrik,A,Fiat,Topolino,Topolino Plus,Topolino Plus,2024,Italya,Elektrik,Elektrik,BEV (Elektrikli),Elektrik,Elektrik,Elektrik,Elektrik,6,5.5 kWh,Lityum Iyon,Otomatik,Şanzıman Bulunmuyor,Şanzıman Bulunmuyor,90.0,8,45,45,-,Onden Cekisli,Yok,93.0,100.0,2535,1400,1530,487,63,Koltuklar Katlanmıyor,145/70 R14,14,70%,145,2,LED,Var,2,Deri,Manuel,Manuel,Yok,Yok,Yok,Var,Yok,100.0,0,2,100.0,100.0,1.207,,,,,75,75,4 Saatte %100 Sarj (Standart Elektrik Prizi Ile),Emisyon Yok,Emisyon Yok
Audi R8 Coupe 4.2 FSI 425 HP V8 Quattro (4x4),Binek,Coupe,S,Audi,R8 Coupe,R8 Coupe,Standart,2015,Almanya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Turbo,8,4163,Cok Noktadan Enjeksiyon,,,,Manuel,Manuel,6 ileri,77.0,425,430,302,4.6,4x4 Cekisli,Var,71.0,69.0,4431,1904,1252,1635,100,Koltuklar Katlanmıyor,235/40 R18,18,40%,235,3,Xenon,Var,2,Deri,Elektronik,Elektronik,Otomatik Klima,Yok,Yok,Yok,Var,59.0,4,Test Edilmemiş,72.0,84.0,85.377,16.29,21.30,10.00,75,,,,EURO 5,332
Lamborghini Huracan LP 610-4 5.2L 610 HP (4x4),Binek,Coupe,S,Lamborghini,Huracan,Huracan Lp 610-4 5.2L,Standart,2016,Italya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,10,5204,Cok Noktadan Enjeksiyon,,,,Otomatik,LDF (Lamborghini Otm.),7 ileri,84.0,610,560,325,3.2,4x4 Cekisli,Var,72.0,66.0,4459,1924,1165,1422,100,Koltuklar Katlanmıyor,245/30 R20,20,30%,245,3,LED,Var,2,Deri,Elektronik,Elektronik,Otomatik Klima,Yok,Yok,Var,Yok,57.0,4,Test Edilmemiş,58.0,59.0,85.377,14.13,17.80,9.40,90,,,,EURO 6,290
Porsche 918 Spyder Hibrit 4.6 887 HP PDK (4x4),Binek,Roadster,S,Porsche,918 Spyder,918 Spyder,Standart,2016,Almanya,Fosil Yakıt,Benzin & Elektrik,HEV (Benzinli & Elektrikli),Atmosferik,8,4590,DFI (Dogrudan Yakit Enjeksiyonu),,,,Otomatik,PDK,7 ileri,100.0,887,1280,345,2.6,4x4 Cekisli,Var,92.0,83.0,4643,1940,1167,1685,100,Koltuklar Katlanmıyor,265/35 R20,20,35%,265,3,LED,Var,2,Deri,Elektronik,Manuel,Otomatik Klima,Var,Var,Var,Var,68.0,6,Test Edilmemiş,60.0,50.0,85.377,3.14,3.10,3.00,70,,,,EURO 6,72
Lamborghini Aventador LP 700-4 Roadster 6.5L V12 700 HP (4x4),Binek,Cabrio,S,Lamborghini,Aventador,Aventador Lp 700-4 Roadster 6.5L V12,Standart,2016,Italya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,12,6498,Cok Noktadan Enjeksiyon,,,,Otomatik,LDF (Lamborghini Otm.),7 ileri,91.0,700,690,350,3.0,4x4 Cekisli,Var,74.0,77.0,4780,2030,1136,1625,140,Koltuklar Katlanmıyor,255/35 R19,19,35%,255,3,LED,Var,2,Deri,Elektronik,Elektronik,Otomatik Klima,Yok,Yok,Var,Yok,87.0,6,Test Edilmemiş,52.0,50.0,85.377,18.44,24.70,10.70,90,,,,EURO 6,370
Porsche 911 Carrera 4 3.5 350 HP (4x4),Binek,Coupe,S,Porsche,911,911 Carrera 4,Standart,2015,Almanya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Atmosferik,6,3436,Cok Noktadan Enjeksiyon,,,,Manuel,Manuel,7 ileri,71.0,350,390,285,4.9,4x4 Cekisli,Var,59.0,71.0,4491,1852,1304,1430,125,Koltuklar Katlanmıyor,205/55 R15,15,55%,205,3,LED,Var,4,Kumas & Deri,Elektronik,Elektronik,Otomatik Klima,Yok,Yok,Yok,Yok,68.0,8,Test Edilmemiş,85.0,89.0,40.486,10.54,12.90,7.40,68,,,,EURO 5,218
Porsche 911 Carrera 4 3.0 370 PS PDK (4x4),Binek,Coupe,S,Porsche,911,911 Carrera 4,Standart,2016,Almanya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Cift Turbo,6,2981,DFI (Dogrudan Yakit Enjeksiyonu),,,,Otomatik,PDK,7 ileri,74.0,370,390,290,4.3,4x4 Cekisli,Var,73.0,71.0,4499,1852,1295,1575,145,Koltuklar Katlanmıyor,235/40 R19,19,40%,235,3,LED,Var,4,Deri,Elektronik,Elektronik,Otomatik Klima,Var,Var,Var,Var,64.0,6,Test Edilmemiş,77.0,76.0,26.654,8.50,10.10,6.30,68,,,,EURO 6,177
Porsche 911 Carrera 4 3.0 370 PS (4x4),Binek,Coupe,S,Porsche,911,911 Carrera 4,Standart,2016,Almanya,Fosil Yakıt,Benzin,Icten Yanmali (Standart),Cift Turbo,6,2981,DFI (Dogrudan Yakit Enjeksiyonu),,,,Manuel,Manuel,7 ileri,74.0,370,390,292,4.5,4x4 Cekisli,Var,72.0,71.0,4499,1852,1295,1555,145,Koltuklar Katlanmıyor,235/40 R19,19,40%,235,3,LED,Var,4,Deri,Elektronik,Elektronik,Otomatik Klima,Var,Var,Var,Var,64.0,6,Test Edilmemiş,83.0,90.0,26.654,9.82,12.20,6.70,68,,,,EURO 6,201
