AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (7 Koltuk),Başlık,DIŞ GÖVDE - Arka Kapı Tipi,DIŞ GÖVDE - Arka Tekerlek,DIŞ GÖVDE - Kapı Sayısı,DIŞ GÖVDE - Sürgülü Sağ Yan Kapı,DIŞ GÖVDE - Şasi Tipi,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,GARANTİ & YOL YARDIM - Garanti,GARANTİ & YOL YARDIM - Yol Yardım Bilgileri,GARANTİ & YOL YARDIM - Yol Yardım Hizmeti,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Diğer Motor Özellikleri,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),SÜRÜŞ DESTEK SİSTEMLERİ - Yokuş Kalkış Desteği,SÜRÜŞ DESTEK SİSTEMLERİ - Yokuş Kalkış Özellikleri,TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - LPG,YAKIT TÜKETİMİ & EMİSYON - LPG CO2 Salınımı,YAKIT TÜKETİMİ & EMİSYON - LPG Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - LPG OrtalamaTüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir İçi Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - Anahtarsız Sistem,YOLCU EMNİYETİ - Hava Yastığı,YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Hacim,YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Genişlik,YÜK ALANI - Azami İç Uzunluk,YÜK ALANI - Azami İç Yükseklik,YÜK ALANI - Davlumbaz Aralığı,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Sistemi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Özellikleri,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frenli),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frensiz),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
1435 kg,11.70 mt.,1832 mm,4775 mm,1442 mm,,586 lt,,2019 Yeni Volkswagen Passat 1.5 TSI ACT 150 PS DSG Passat,,,,,,2019 Yeni Volkswagen Passat 1.5 TSI ACT 150 PS DSG Passat Test Sürüşü Talep Sayfası,2019 Yeni Volkswagen Passat 1.5 TSI ACT 150 PS DSG Passat Ürün Kataloğu,"2 Yıl Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Turbo,,4,1498 cc,Direkt Enjeksiyon,8.7 saniye,220 km/s,250 nm,150 BG,,,Almanya,Passat Sedan,Binek,Passat,Sedan,2019,İçten Yanmalı (Standart),1800 tl/yıl,D,Passat,Benzin,https://www.epey.com/araba/2019-yeni-volkswagen-passat-1-5-tsi-act-150-ps-passat.html,,,,,,,117 g/km,5.1 lt,59 lt,,4.3 lt,6.6 lt,,,5 yıldız,2019 Yeni Volkswagen Passat 1.5 TSI ACT 150 PS DSG Passat NCAP/ANCAP Web Sayfası,2014,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1500 kg,11.70 mt.,1832 mm,4775 mm,1442 mm,,586 lt,,2019 Yeni Volkswagen Passat 1.6 TDI 120 PS DSG Business,,,,,,2019 Yeni Volkswagen Passat 1.6 TDI 120 PS DSG Business Test Sürüşü Talep Sayfası,2019 Yeni Volkswagen Passat 1.6 TDI 120 PS DSG Business Ürün Kataloğu,"2 Yıl Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,10.8 saniye,205 km/s,250 nm,120 BG,,,Almanya,Passat Sedan,Binek,Business,Sedan,2019,İçten Yanmalı (Standart),1800 tl/yıl,D,Passat,Dizel,https://www.epey.com/araba/2019-yeni-volkswagen-passat-1-6-tdi-120-ps-dsg-business.html,,,,,,,109 g/km,4.2 lt,59 lt,,3.9 lt,4.6 lt,,,5 yıldız,2019 Yeni Volkswagen Passat 1.6 TDI 120 PS DSG Business NCAP/ANCAP Web Sayfası,2014,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1500 kg,11.70 mt.,1832 mm,4775 mm,1442 mm,,586 lt,,2019 Yeni Volkswagen Passat 1.6 TDI 120 PS DSG Elegance,,,,,,2019 Yeni Volkswagen Passat 1.6 TDI 120 PS DSG Elegance Test Sürüşü Talep Sayfası,2019 Yeni Volkswagen Passat 1.6 TDI 120 PS DSG Elegance Ürün Kataloğu,"2 Yıl Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,10.8 saniye,205 km/s,250 nm,120 BG,,,Almanya,Passat Sedan,Binek,Elegance,Sedan,2019,İçten Yanmalı (Standart),1800 tl/yıl,D,Passat,Dizel,https://www.epey.com/araba/2019-yeni-volkswagen-passat-1-6-tdi-120-ps-dsg-elegance.html,,,,,,,109 g/km,4.2 lt,59 lt,,3.9 lt,4.6 lt,,,5 yıldız,2019 Yeni Volkswagen Passat 1.6 TDI 120 PS DSG Elegance NCAP/ANCAP Web Sayfası,2014,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1500 kg,11.70 mt.,1832 mm,4775 mm,1442 mm,,586 lt,,2019 Yeni Volkswagen Passat 1.6 TDI 120 PS DSG Passat,,,,,,2019 Yeni Volkswagen Passat 1.6 TDI 120 PS DSG Passat Test Sürüşü Talep Sayfası,2019 Yeni Volkswagen Passat 1.6 TDI 120 PS DSG Passat Ürün Kataloğu,"2 Yıl Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,10.8 saniye,205 km/s,250 nm,120 BG,,,Almanya,Passat Sedan,Binek,Passat,Sedan,2019,İçten Yanmalı (Standart),1800 tl/yıl,D,Passat,Dizel,https://www.epey.com/araba/2019-yeni-volkswagen-passat-1-6-tdi-120-ps-dsg-passat.html,,,,,,,109 g/km,4.2 lt,59 lt,,3.9 lt,4.6 lt,,,5 yıldız,2019 Yeni Volkswagen Passat 1.6 TDI 120 PS DSG Passat NCAP/ANCAP Web Sayfası,2014,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1550 kg,11.70 mt.,1832 mm,4775 mm,1442 mm,,586 lt,,2019 Yeni Volkswagen Passat 2.0 TDI 150 PS DSG Business,,,,,,2019 Yeni Volkswagen Passat 2.0 TDI 150 PS DSG Business Test Sürüşü Talep Sayfası,2019 Yeni Volkswagen Passat 2.0 TDI 150 PS DSG Business Ürün Kataloğu,"2 Yıl Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,8.7 saniye,220 km/s,340 nm,150 BG,,,Almanya,Passat Sedan,Binek,Business,Sedan,2019,İçten Yanmalı (Standart),5003 tl/yıl,D,Passat,Dizel,https://www.epey.com/araba/2019-yeni-volkswagen-passat-2-0-tdi-150-ps-dsg-business.html,,,,,,,109 g/km,4.1 lt,59 lt,,3.9 lt,4.6 lt,,,5 yıldız,2019 Yeni Volkswagen Passat 2.0 TDI 150 PS DSG Business NCAP/ANCAP Web Sayfası,2014,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1550 kg,11.70 mt.,1832 mm,4775 mm,1442 mm,,586 lt,,2019 Yeni Volkswagen Passat 2.0 TDI 150 PS DSG Elegance,,,,,,2019 Yeni Volkswagen Passat 2.0 TDI 150 PS DSG Elegance Test Sürüşü Talep Sayfası,2019 Yeni Volkswagen Passat 2.0 TDI 150 PS DSG Elegance Ürün Kataloğu,"2 Yıl Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,8.7 saniye,220 km/s,340 nm,150 BG,,,Almanya,Passat Sedan,Binek,Elegance,Sedan,2019,İçten Yanmalı (Standart),5003 tl/yıl,D,Passat,Dizel,https://www.epey.com/araba/2019-yeni-volkswagen-passat-2-0-tdi-150-ps-dsg-elegance.html,,,,,,,109 g/km,4.1 lt,59 lt,,3.9 lt,4.6 lt,,,5 yıldız,2019 Yeni Volkswagen Passat 2.0 TDI 150 PS DSG Elegance NCAP/ANCAP Web Sayfası,2014,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1730 kg,11.70 mt.,1832 mm,4775 mm,1442 mm,,586 lt,,2019 Yeni Volkswagen Passat 2.0 TDI 240 PS 4M DSG Elegance (4x4),,,,,,2019 Yeni Volkswagen Passat 2.0 TDI 240 PS 4M DSG Elegance (4x4) Test Sürüşü Talep Sayfası,2019 Yeni Volkswagen Passat 2.0 TDI 240 PS 4M DSG Elegance (4x4) Ürün Kataloğu,"2 Yıl Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,6.1 saniye,247 km/s,500 nm,240 BG,,,Almanya,Passat Sedan,Binek,Elegance,Sedan,2019,İçten Yanmalı (Standart),5003 tl/yıl,D,Passat,Dizel,https://www.epey.com/araba/2019-yeni-volkswagen-passat-2-0-tdi-240-ps-4m-dsg-elegance-4x4.html,,,,,,,150 g/km,5.7 lt,66 lt,,5.1 lt,6.8 lt,,,5 yıldız,2019 Yeni Volkswagen Passat 2.0 TDI 240 PS 4M DSG Elegance (4x4) NCAP/ANCAP Web Sayfası,2014,Var,,,,,,,,4x4 Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
,13.20 mt.,1904 mm,5304 mm,1990 mm,,,,2019 Yeni Volkswagen Transporter Camlı Van 2.0 TDI 150 PS (4+1 Uzun),,,,,Uzun,,2019 Yeni Volkswagen Transporter Camlı Van 2.0 TDI 150 PS (4+1 Uzun) Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Değişken Geometrili Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,12.0 saniye,181 km/s,340 nm,150 BG,,,Almanya,Camlı Van,Ticari,Standart,Kombi,2019,İçten Yanmalı (Standart),2075 tl/yıl,Hafif Ticari,Transporter,Dizel,https://www.epey.com/araba/2019-yeni-volkswagen-transporter-camli-van-2-0-tdi-150-ps-4plus1-uzun.html,,,,,,,,7.8 lt,70 lt,,7.4 lt,8.4 lt,,,,,,,6.7 m³,,3000 kg,1627 mm,,1397 mm,1244 mm,Önden Çekişli,,,2500 kg,750 kg,6 ileri,Manuel,
,11.90 mt.,1904 mm,4904 mm,1990 mm,,,,2019 Yeni Volkswagen Transporter Camlı Van 2.0 TDI 150 PS (4+1),,,,,Standart,,2019 Yeni Volkswagen Transporter Camlı Van 2.0 TDI 150 PS (4+1) Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Değişken Geometrili Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,12.0 saniye,181 km/s,340 nm,150 BG,,,Almanya,Camlı Van,Ticari,Standart,Kombi,2019,İçten Yanmalı (Standart),2075 tl/yıl,Hafif Ticari,Transporter,Dizel,https://www.epey.com/araba/2019-yeni-volkswagen-transporter-camli-van-2-0-tdi-150-ps-4plus1.html,,,,,,,,7.8 lt,70 lt,,7.4 lt,8.4 lt,,,,,,,5.8 m³,,3000 kg,1627 mm,,1397 mm,1244 mm,Önden Çekişli,,,2500 kg,750 kg,6 ileri,Manuel,
2190 kg,13.20 mt.,1904 mm,5304 mm,1990 mm,,,,2019 Yeni Volkswagen Transporter Panel Van 2.0 TDI 110 PS (2+1 Uzun),Yukarı Açılır,Tek,4,Var,Uzun,,2019 Yeni Volkswagen Transporter Panel Van 2.0 TDI 110 PS (2+1 Uzun) Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Değişken Geometrili Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,14.8 saniye,164 km/s,250 nm,110 BG,,,Almanya,Panelvan,Ticari,Standart,Panelvan,2019,İçten Yanmalı (Standart),1867 tl/yıl,Hafif Ticari,Transporter,Dizel,https://www.epey.com/araba/2019-yeni-volkswagen-transporter-panel-van-2-0-tdi-110-ps-2plus1-uzun.html,Yok,,,,,,,7.9 lt,70 lt,,7.5 lt,8.5 lt,,,,,,,6.7 m³,1221 kg,3000 kg,1700 mm,2975 mm,1410 mm,1244 mm,Önden Çekişli,,,2200 kg,750 kg,5 ileri,Manuel,
