AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (7 Koltuk),Başlık,DIŞ GÖVDE - Arka Kapı Tipi,DIŞ GÖVDE - Arka Tekerlek,DIŞ GÖVDE - Kapı Sayısı,DIŞ GÖVDE - Sürgülü Sağ Yan Kapı,DIŞ GÖVDE - Şasi Tipi,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,GARANTİ & YOL YARDIM - Garanti,GARANTİ & YOL YARDIM - Yol Yardım Bilgileri,GARANTİ & YOL YARDIM - Yol Yardım Hizmeti,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Diğer Özellikler,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Diğer Motor Özellikleri,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - LPG,YAKIT TÜKETİMİ & EMİSYON - LPG CO2 Salınımı,YAKIT TÜKETİMİ & EMİSYON - LPG Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - LPG OrtalamaTüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir İçi Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - Anahtarsız Sistem,YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Hacim,YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Genişlik,YÜK ALANI - Azami İç Uzunluk,YÜK ALANI - Azami İç Yükseklik,YÜK ALANI - Davlumbaz Aralığı,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Sistemi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Özellikleri,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frenli),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frensiz),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
1187 kg,,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,2020 Yeni Renault Clio 1.0 TCe 100 BG X-Tronic Joy,,,,,,2020 Yeni Renault Clio 1.0 TCe 100 BG X-Tronic Joy Test Sürüşü Talep Sayfası,2020 Yeni Renault Clio 1.0 TCe 100 BG X-Tronic Joy Ürün Kataloğu,,,,,,,,,Turbo,,3,999 cc,,11.5 saniye,182 km/s,142 nm,100 BG,Fransa,Hatchback,Binek,Joy,Hatchback,2020,İçten Yanmalı (Standart),1156 tl/yıl,B,Clio,Benzin,https://www.epey.com/araba/2020-yeni-renault-clio-1-0-tce-100-bg-x-tronic-joy.html,,,,,,,113 g/km,5.0 lt,42 lt,,4.1 lt,6.3 lt,,5 yıldız,2020 Yeni Renault Clio 1.0 TCe 100 BG X-Tronic Joy NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,X-Tronic (Değişken Oranlı)
1187 kg,,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,2020 Yeni Renault Clio 1.0 TCe 100 BG X-Tronic Touch,,,,,,2020 Yeni Renault Clio 1.0 TCe 100 BG X-Tronic Touch Test Sürüşü Talep Sayfası,2020 Yeni Renault Clio 1.0 TCe 100 BG X-Tronic Touch Ürün Kataloğu,,,,,,,,,Turbo,,3,999 cc,,11.5 saniye,182 km/s,142 nm,100 BG,Fransa,Hatchback,Binek,Touch,Hatchback,2020,İçten Yanmalı (Standart),1156 tl/yıl,B,Clio,Benzin,https://www.epey.com/araba/2020-yeni-renault-clio-1-0-tce-100-bg-x-tronic-touch.html,,,,,,,113 g/km,5.0 lt,42 lt,,4.1 lt,6.3 lt,,5 yıldız,2020 Yeni Renault Clio 1.0 TCe 100 BG X-Tronic Touch NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,X-Tronic (Değişken Oranlı)
1233 kg,,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,2020 Yeni Renault Clio 1.3 TCe 130 BG EDC Icon,,,,,,2020 Yeni Renault Clio 1.3 TCe 130 BG EDC Icon Test Sürüşü Talep Sayfası,2020 Yeni Renault Clio 1.3 TCe 130 BG EDC Icon Ürün Kataloğu,,,,,,,,,Turbo,,4,1332 cc,,9.0 saniye,200 km/s,240 nm,130 BG,Fransa,Hatchback,Binek,Icon,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,B,Clio,Benzin,https://www.epey.com/araba/2020-yeni-renault-clio-1-3-tce-130-bg-edc-icon.html,,,,,,,121 g/km,5.3 lt,42 lt,,4.5 lt,6.8 lt,,5 yıldız,2020 Yeni Renault Clio 1.3 TCe 130 BG EDC Icon NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,EDC (Çift Kavramalı Otm.)
1233 kg,,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,2020 Yeni Renault Clio 1.3 TCe 130 BG EDC Touch,,,,,,2020 Yeni Renault Clio 1.3 TCe 130 BG EDC Touch Test Sürüşü Talep Sayfası,2020 Yeni Renault Clio 1.3 TCe 130 BG EDC Touch Ürün Kataloğu,,,,,,,,,Turbo,,4,1332 cc,,9.0 saniye,200 km/s,240 nm,130 BG,Fransa,Hatchback,Binek,Touch,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,B,Clio,Benzin,https://www.epey.com/araba/2020-yeni-renault-clio-1-3-tce-130-bg-edc-touch.html,,,,,,,121 g/km,5.3 lt,42 lt,,4.5 lt,6.8 lt,,5 yıldız,2020 Yeni Renault Clio 1.3 TCe 130 BG EDC Touch NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,EDC (Çift Kavramalı Otm.)
1264 kg,,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,2020 Yeni Renault Clio 1.5 Blue dCi 115 BG Icon,,,,,,2020 Yeni Renault Clio 1.5 Blue dCi 115 BG Icon Test Sürüşü Talep Sayfası,2020 Yeni Renault Clio 1.5 Blue dCi 115 BG Icon Ürün Kataloğu,,,,,,,,,Turbo,,4,1461 cc,Common Rail Direkt Enjeksiyon,9.9 saniye,197 km/s,260 nm,115 BG,Fransa,Hatchback,Binek,Icon,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,B,Clio,Dizel,https://www.epey.com/araba/2020-yeni-renault-clio-1-5-blue-dci-115-bg-icon.html,,,,,,,97 g/km,3.7 lt,39 lt,,3.3 lt,4.4 lt,,5 yıldız,2020 Yeni Renault Clio 1.5 Blue dCi 115 BG Icon NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1264 kg,,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,2020 Yeni Renault Clio 1.5 Blue dCi 115 BG Touch,,,,,,2020 Yeni Renault Clio 1.5 Blue dCi 115 BG Touch Test Sürüşü Talep Sayfası,2020 Yeni Renault Clio 1.5 Blue dCi 115 BG Touch Ürün Kataloğu,,,,,,,,,Turbo,,4,1461 cc,Common Rail Direkt Enjeksiyon,9.9 saniye,197 km/s,260 nm,115 BG,Fransa,Hatchback,Binek,Touch,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,B,Clio,Dizel,https://www.epey.com/araba/2020-yeni-renault-clio-1-5-blue-dci-115-bg-touch.html,,,,,,,97 g/km,3.7 lt,39 lt,,3.3 lt,4.4 lt,,5 yıldız,2020 Yeni Renault Clio 1.5 Blue dCi 115 BG Touch NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1264 kg,,1798 mm,4050 mm,1440 mm,1069 lt,391 lt,,2020 Yeni Renault Clio 1.5 Blue dCi 85 BG Joy,,,,,,2020 Yeni Renault Clio 1.5 Blue dCi 85 BG Joy Test Sürüşü Talep Sayfası,2020 Yeni Renault Clio 1.5 Blue dCi 85 BG Joy Ürün Kataloğu,,,,,,,,,Turbo,,4,1461 cc,Common Rail Direkt Enjeksiyon,14.7 saniye,178 km/s,220 nm,85 BG,Fransa,Hatchback,Binek,Joy,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,B,Clio,Dizel,https://www.epey.com/araba/2020-yeni-renault-clio-1-5-blue-dci-85-bg-joy.html,,,,,,,97 g/km,3.7 lt,39 lt,,3.3 lt,4.4 lt,,5 yıldız,2020 Yeni Renault Clio 1.5 Blue dCi 85 BG Joy NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
1251 kg,10.80 mt.,1793 mm,4241 mm,1531 mm,1395 lt,400 lt,,2020 Yeni Skoda Kamiq 1.0 TSI 115 PS DSG Premium (4x2),,,,,,2020 Yeni Skoda Kamiq 1.0 TSI 115 PS DSG Premium (4x2) Test Sürüşü Talep Sayfası,2020 Yeni Skoda Kamiq 1.0 TSI 115 PS DSG Premium (4x2) Ürün Kataloğu,,,,,,,,,Turbo,,3,999 cc,Direkt Enjeksiyon,10.0 saniye,193 km/s,200 nm,115 BG,Çek Cumhuriyeti > Almanya,,Binek,Premium,SUV,2020,İçten Yanmalı (Standart),1156 tl/yıl,B,Kamiq,Benzin,https://www.epey.com/araba/2020-yeni-skoda-kamiq-1-0-tsi-115-ps-dsg-premium-4x2.html,,,,,,,111 g/km,4.9 lt,50 lt,,4.4 lt,5.7 lt,,5 yıldız,2020 Yeni Skoda Kamiq 1.0 TSI 115 PS DSG Premium (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1277 kg,10.80 mt.,1793 mm,4241 mm,1531 mm,1395 lt,400 lt,,2020 Yeni Skoda Kamiq 1.5 TSI ACT 150 PS DSG Premium (4x2),,,,,,2020 Yeni Skoda Kamiq 1.5 TSI ACT 150 PS DSG Premium (4x2) Test Sürüşü Talep Sayfası,2020 Yeni Skoda Kamiq 1.5 TSI ACT 150 PS DSG Premium (4x2) Ürün Kataloğu,,,,,,,,,Turbo,,4,1498 cc,Direkt Enjeksiyon,8.4 saniye,212 km/s,250 nm,150 BG,Çek Cumhuriyeti > Almanya,,Binek,Premium,SUV,2020,İçten Yanmalı (Standart),2014 tl/yıl,B,Kamiq,Benzin,https://www.epey.com/araba/2020-yeni-skoda-kamiq-1-5-tsi-act-150-ps-dsg-premium-4x2.html,,,,,,,115 g/km,5.0 lt,50 lt,,4.3 lt,6.4 lt,,5 yıldız,2020 Yeni Skoda Kamiq 1.5 TSI ACT 150 PS DSG Premium (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
1364 kg,10.80 mt.,1793 mm,4241 mm,1531 mm,1395 lt,400 lt,,2020 Yeni Skoda Kamiq 1.6 TDI SCR 115 PS DSG Premium (4x2),,,,,,2020 Yeni Skoda Kamiq 1.6 TDI SCR 115 PS DSG Premium (4x2) Test Sürüşü Talep Sayfası,2020 Yeni Skoda Kamiq 1.6 TDI SCR 115 PS DSG Premium (4x2) Ürün Kataloğu,,,,,,,,,Turbo,,4,1598 cc,Common Rail Direkt Enjeksiyon,10.4 saniye,192 km/s,250 nm,115 BG,Çek Cumhuriyeti > Almanya,,Binek,Premium,SUV,2020,İçten Yanmalı (Standart),2014 tl/yıl,B,Kamiq,Dizel,https://www.epey.com/araba/2020-yeni-skoda-kamiq-1-6-tdi-scr-115-ps-dsg-premium-4x2.html,,,,,,,111 g/km,4.2 lt,50 lt,,3.9 lt,4.8 lt,,5 yıldız,2020 Yeni Skoda Kamiq 1.6 TDI SCR 115 PS DSG Premium (4x2) NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,DSG (Yarı Otm.)
