AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Diğer Özellikler,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (7 Koltuk),Başlık,DIŞ GÖVDE - Şasi Tipi,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,GARANTİ & YOL YARDIM - Garanti,GARANTİ & YOL YARDIM - Yol Yardım Bilgileri,GARANTİ & YOL YARDIM - Yol Yardım Hizmeti,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Garantisi,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Diğer Özellikler,MOTOR (Elektrikli) - Menzil,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (Elektrikli) - Menzil (WLTP-Şehir İçi),MOTOR (Elektrikli) - Motor Gücü,MOTOR (Elektrikli) - Ortalama Tüketim (Elk.),MOTOR (Elektrikli) - Şarj Süresi,MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Diğer Motor Özellikleri,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Engelli Bireyler İçin ÖTV Muafiyeti,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - LPG,YAKIT TÜKETİMİ & EMİSYON - LPG CO2 Salınımı,YAKIT TÜKETİMİ & EMİSYON - LPG Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - LPG OrtalamaTüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir İçi Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon (WLTP),YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km/WLTP),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Hacim,YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Genişlik,YÜK ALANI - Azami İç Yükseklik,YÜK ALANI - Davlumbaz Aralığı,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Sistemi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Özellikleri,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frenli),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frensiz),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
1450 kg,11.50 mt.,1848 mm,4425 mm,1625 mm,,1447 lt,504 lt,,2022 Nissan Qashqai 1.3 DIG-T 158 PS X-Tronic CVT Platinum Premium (4x2),,,2022 Nissan Qashqai 1.3 DIG-T 158 PS X-Tronic CVT Platinum Premium (4x2) Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,4,1332 cc,Direkt Enjeksiyon,9.2 saniye,199 km/s,270 nm,158 BG,Japonya,,Binek,Platinum Premium,,SUV,2022,MHEV (Yarı Hibrit Sistem),2746 tl/yıl,C,Qashqai,Benzin & Elektrik,https://www.epey.com/araba/2022-nissan-qashqai-1-3-dig-t-158-ps-x-tronic-cvt-platinum-premium-4x2.html,,,,,,,144 g/km,,6.4 lt,,55 lt,,5.4 lt,7.9 lt,5 yıldız,2022 Nissan Qashqai 1.3 DIG-T 158 PS X-Tronic CVT Platinum Premium (4x2) NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,Önden Çekişli,,,,,,Otomatik,X-Tronic CVT
1532 kg,11.50 mt.,1848 mm,4425 mm,1625 mm,,1447 lt,504 lt,,2022 Nissan Qashqai 1.3 DIG-T 158 PS X-Tronic CVT Platinum Premium (4x4),,,2022 Nissan Qashqai 1.3 DIG-T 158 PS X-Tronic CVT Platinum Premium (4x4) Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,4,1332 cc,Direkt Enjeksiyon,9.9 saniye,190 km/s,270 nm,158 BG,Japonya,,Binek,Platinum Premium,,SUV,2022,MHEV (Yarı Hibrit Sistem),2746 tl/yıl,C,Qashqai,Benzin & Elektrik,https://www.epey.com/araba/2022-nissan-qashqai-1-3-dig-t-158-ps-x-tronic-cvt-platinum-premium-4x4.html,,,,,,,158 g/km,,7.0 lt,,55 lt,,5.9 lt,8.8 lt,5 yıldız,2022 Nissan Qashqai 1.3 DIG-T 158 PS X-Tronic CVT Platinum Premium (4x4) NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,4x4 Çekişli,,,,,,Otomatik,X-Tronic CVT
1450 kg,11.50 mt.,1848 mm,4425 mm,1625 mm,,1447 lt,504 lt,,2022 Nissan Qashqai 1.3 DIG-T 158 PS X-Tronic CVT Skypack (4x2),,,2022 Nissan Qashqai 1.3 DIG-T 158 PS X-Tronic CVT Skypack (4x2) Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,4,1332 cc,Direkt Enjeksiyon,9.2 saniye,199 km/s,270 nm,158 BG,Japonya,,Binek,Skypack,,SUV,2022,MHEV (Yarı Hibrit Sistem),2746 tl/yıl,C,Qashqai,Benzin & Elektrik,https://www.epey.com/araba/2022-nissan-qashqai-1-3-dig-t-158-ps-x-tronic-cvt-skypack-4x2.html,,,,,,,144 g/km,,6.4 lt,,55 lt,,5.4 lt,7.9 lt,5 yıldız,2022 Nissan Qashqai 1.3 DIG-T 158 PS X-Tronic CVT Skypack (4x2) NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,Önden Çekişli,,,,,,Otomatik,X-Tronic CVT
1532 kg,11.50 mt.,1848 mm,4425 mm,1625 mm,,1447 lt,504 lt,,2022 Nissan Qashqai 1.3 DIG-T 158 PS X-Tronic CVT Skypack (4x4),,,2022 Nissan Qashqai 1.3 DIG-T 158 PS X-Tronic CVT Skypack (4x4) Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,4,1332 cc,Direkt Enjeksiyon,9.9 saniye,190 km/s,270 nm,158 BG,Japonya,,Binek,Skypack,,SUV,2022,MHEV (Yarı Hibrit Sistem),2746 tl/yıl,C,Qashqai,Benzin & Elektrik,https://www.epey.com/araba/2022-nissan-qashqai-1-3-dig-t-158-ps-x-tronic-cvt-skypack-4x4.html,,,,,,,158 g/km,,7.0 lt,,55 lt,,5.9 lt,8.8 lt,5 yıldız,2022 Nissan Qashqai 1.3 DIG-T 158 PS X-Tronic CVT Skypack (4x4) NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,4x4 Çekişli,,,,,,Otomatik,X-Tronic CVT
1450 kg,11.50 mt.,1848 mm,4425 mm,1625 mm,,1447 lt,504 lt,,2022 Nissan Qashqai 1.3 DIG-T 158 PS X-Tronic CVT Tekna (4x2),,,2022 Nissan Qashqai 1.3 DIG-T 158 PS X-Tronic CVT Tekna (4x2) Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,4,1332 cc,Direkt Enjeksiyon,9.2 saniye,199 km/s,270 nm,158 BG,Japonya,,Binek,Tekna,,SUV,2022,MHEV (Yarı Hibrit Sistem),2746 tl/yıl,C,Qashqai,Benzin & Elektrik,https://www.epey.com/araba/2022-nissan-qashqai-1-3-dig-t-158-ps-x-tronic-cvt-tekna-4x2.html,,,,,,,144 g/km,,6.4 lt,,55 lt,,5.4 lt,7.9 lt,5 yıldız,2022 Nissan Qashqai 1.3 DIG-T 158 PS X-Tronic CVT Tekna (4x2) NCAP/ANCAP Web Sayfası,2021,Var,,,,,,,Önden Çekişli,,,,,,Otomatik,X-Tronic CVT
1371 kg,10.51 mt.,2062 mm,4374 mm,1470 mm,,1339 lt,422 lt,,2022 Opel Astra HB 1.2 130 HP AT8 Edition,,2022 Opel Astra HB 1.2 130 HP AT8 Edition Test Sürüşü Talep Sayfası,2022 Opel Astra HB 1.2 130 HP AT8 Edition Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,3,1199 cc,Direkt Enjeksiyon,9.7 saniye,210 km/s,230 nm,130 BG,Almanya > Hollanda,Hatchback,Binek,Edition,,Hatchback,2022,İçten Yanmalı (Standart),1576 tl/yıl,C,Astra,Benzin,https://www.epey.com/araba/2022-opel-astra-hb-1-2-130-hp-at8-edition.html,,,,,,,131 g/km,,5.9 lt,,52 lt,Euro 6d,5.0 lt,7.4 lt,4 yıldız,2022 Opel Astra HB 1.2 130 HP AT8 Edition NCAP/ANCAP Web Sayfası,2022,Var,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,
1371 kg,10.51 mt.,2062 mm,4374 mm,1470 mm,,1339 lt,422 lt,,2022 Opel Astra HB 1.2 130 HP AT8 Elegance,,2022 Opel Astra HB 1.2 130 HP AT8 Elegance Test Sürüşü Talep Sayfası,2022 Opel Astra HB 1.2 130 HP AT8 Elegance Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,3,1199 cc,Direkt Enjeksiyon,9.7 saniye,210 km/s,230 nm,130 BG,Almanya > Hollanda,Hatchback,Binek,Elegance,,Hatchback,2022,İçten Yanmalı (Standart),1576 tl/yıl,C,Astra,Benzin,https://www.epey.com/araba/2022-opel-astra-hb-1-2-130-hp-at8-elegance.html,,,,,,,131 g/km,,5.9 lt,,52 lt,Euro 6d,5.0 lt,7.4 lt,4 yıldız,2022 Opel Astra HB 1.2 130 HP AT8 Elegance NCAP/ANCAP Web Sayfası,2022,Var,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,
1371 kg,10.51 mt.,2062 mm,4374 mm,1470 mm,,1339 lt,422 lt,,2022 Opel Astra HB 1.2 130 HP AT8 GS Line,,2022 Opel Astra HB 1.2 130 HP AT8 GS Line Test Sürüşü Talep Sayfası,2022 Opel Astra HB 1.2 130 HP AT8 GS Line Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,3,1199 cc,Direkt Enjeksiyon,9.7 saniye,210 km/s,230 nm,130 BG,Almanya > Hollanda,Hatchback,Binek,GS Line,,Hatchback,2022,İçten Yanmalı (Standart),1576 tl/yıl,C,Astra,Benzin,https://www.epey.com/araba/2022-opel-astra-hb-1-2-130-hp-at8-gs-line.html,,,,,,,131 g/km,,5.9 lt,,52 lt,Euro 6d,5.0 lt,7.4 lt,4 yıldız,2022 Opel Astra HB 1.2 130 HP AT8 GS Line NCAP/ANCAP Web Sayfası,2022,Var,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,
1371 kg,10.51 mt.,2062 mm,4374 mm,1470 mm,,1339 lt,422 lt,,2022 Opel Astra HB 1.2 130 HP AT8 GS,,2022 Opel Astra HB 1.2 130 HP AT8 GS Test Sürüşü Talep Sayfası,2022 Opel Astra HB 1.2 130 HP AT8 GS Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,3,1199 cc,Direkt Enjeksiyon,9.7 saniye,210 km/s,230 nm,130 BG,Almanya > Hollanda,Hatchback,Binek,GS,,Hatchback,2022,İçten Yanmalı (Standart),1576 tl/yıl,C,Astra,Benzin,https://www.epey.com/araba/2022-opel-astra-hb-1-2-130-hp-at8-gs.html,,,,,,,131 g/km,,5.9 lt,,52 lt,Euro 6d,5.0 lt,7.4 lt,4 yıldız,2022 Opel Astra HB 1.2 130 HP AT8 GS NCAP/ANCAP Web Sayfası,2022,Var,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,
1341 kg,10.51 mt.,2062 mm,4374 mm,1470 mm,,1339 lt,422 lt,,2022 Opel Astra HB 1.2 130 HP Edition,,2022 Opel Astra HB 1.2 130 HP Edition Test Sürüşü Talep Sayfası,2022 Opel Astra HB 1.2 130 HP Edition Ürün Kataloğu,,,,,,,,,,,,,,,Turbo,,3,1199 cc,Direkt Enjeksiyon,9.7 saniye,210 km/s,230 nm,130 BG,Almanya > Hollanda,Hatchback,Binek,Edition,,Hatchback,2022,İçten Yanmalı (Standart),1576 tl/yıl,C,Astra,Benzin,https://www.epey.com/araba/2022-opel-astra-hb-1-2-130-hp-edition.html,,,,,,,129 g/km,,5.7 lt,,52 lt,Euro 6d,5.0 lt,6.6 lt,4 yıldız,2022 Opel Astra HB 1.2 130 HP Edition NCAP/ANCAP Web Sayfası,2022,Var,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
