AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Diğer Özellikler,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),Başlık,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Diğer Özellikler,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (Elektrikli) - Menzil (WLTP-Şehir İçi),MOTOR (Elektrikli) - Motor Gücü,MOTOR (Elektrikli) - Ortalama Tüketim (Elk.),MOTOR (Elektrikli) - Şarj Süresi,MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon (WLTP),YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km/WLTP),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Yükseklik,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
2075 kg,,1863 mm,4440 mm,1647 mm,,1295 lt,419 lt,2024 Volvo XC40 Recharge P8 252 HP Ultimate (4x2),2024 Volvo XC40 Recharge P8 252 HP Ultimate (4x2) Test Sürüşü Talep Sayfası,,420 nm,,,,566 km,786 km,185 kW,16.9 kWsa/100km,"AC 3 Faz 11 kW Tip 2 (%0 - %100) 8sa
DC 75 kW (%10 - %80) 28dk.",,,,,7.3 saniye,180 km/s,420 nm,252 BG,İsveç > Çin,,Binek,Ultimate,SUV,2024,BEV (Elektrikli),,C,XC40 Recharge,Elektrik,https://www.epey.com/araba/2024-volvo-xc40-recharge-p8-252-hp-ultimate-4x2.html,,,,,,,,,,,,,,,,Arkadan İtişli,,Otomatik,
2170 kg,,1863 mm,4440 mm,1647 mm,,1295 lt,419 lt,2024 Volvo XC40 Recharge P8 408 HP Ultimate (4x4),2024 Volvo XC40 Recharge P8 408 HP Ultimate (4x4) Test Sürüşü Talep Sayfası,,670 nm,,,,498 km,660 km,300 kW,17.8 kWsa/100km,"AC 3 Faz 11 kW Tip 2 (%0 - %100) 8sa
DC 75 kW (%10 - %80) 28dk.",,,,,4.8 saniye,180 km/s,670 nm,408 BG,İsveç > Çin,,Binek,Ultimate,SUV,2024,BEV (Elektrikli),,C,XC40 Recharge,Elektrik,https://www.epey.com/araba/2024-volvo-xc40-recharge-p8-408-hp-ultimate-4x4.html,,,,,,,,,,,,,,,,4x4 Çekişli,,Otomatik,
2340 kg,,1950 mm,4905 mm,1645 mm,,,,2024 Voyah Free High 489 HP (4x4),2024 Voyah Free High 489 HP (4x4) Test Sürüşü Talep Sayfası,2024 Voyah Free High 489 HP (4x4) Ürün Kataloğu,720 nm,100 kW/sa,Lityum İyon,,630 km,,360 kW,,DC (%20 - %80) 45dk.,,,,,4.4 saniye,200 km/s,720 nm,489 BG,Çin,,Binek,High,Hatchback,2024,BEV (Elektrikli),,,Free,Elektrik,https://www.epey.com/araba/2024-voyah-free-high-489-hp-4x4.html,,,,,,,,,5 yıldız,2024 Voyah Free High 489 HP (4x4) NCAP/ANCAP Web Sayfası,2021,Var,,,,4x4 Çekişli,,Otomatik,
2340 kg,,1950 mm,4905 mm,1645 mm,,,,2024 Voyah Free High Plus 489 HP (4x4),2024 Voyah Free High Plus 489 HP (4x4) Test Sürüşü Talep Sayfası,2024 Voyah Free High Plus 489 HP (4x4) Ürün Kataloğu,720 nm,100 kW/sa,Lityum İyon,,630 km,,360 kW,,DC (%20 - %80) 45dk.,,,,,4.4 saniye,200 km/s,720 nm,489 BG,Çin,,Binek,High Plus,Hatchback,2024,BEV (Elektrikli),,,Free,Elektrik,https://www.epey.com/araba/2024-voyah-free-high-plus-489-hp-4x4.html,,,,,,,,,5 yıldız,2024 Voyah Free High Plus 489 HP (4x4) NCAP/ANCAP Web Sayfası,2021,Var,,,,4x4 Çekişli,,Otomatik,
1980 kg,,1963 mm,4997 mm,1455 mm,Ön Bagaj Bölmesi 105 Lt.,,517 lt,2024 Xiaomi SU7 295 HP (4X2),,,400 nm,73.6 kW/sa,Lityum Demir Fosfat (LFP),,560 km,,220 kW,15.5 kWsa/100km,,,,,,5.3 saniye,210 km/s,400 nm,295 BG,Çin,,Binek,,Sedan,2024,BEV (Elektrikli),,D,SU7,Elektrik,https://www.epey.com/araba/2024-xiaomi-su7-295-hp-4x2.html,,,,,,,,,5 yıldız,2024 Xiaomi SU7 295 HP (4X2) NCAP/ANCAP Web Sayfası,2024,Var,,,,Arkadan İtişli,,Otomatik,
2205 kg,,1963 mm,4997 mm,1455 mm,Ön Bagaj Bölmesi 105 Lt.,,517 lt,2024 Xiaomi SU7 Max 673 HP (4X4),,,838 nm,101.0 kW/sa,Lityum Demir Fosfat (LFP),,560 km,,495 kW,,,,,,,2.8 saniye,265 km/s,838 nm,673 BG,Çin,,Binek,,Sedan,2024,BEV (Elektrikli),,D,SU7,Elektrik,https://www.epey.com/araba/2024-xiaomi-su7-max-673-hp-4x4.html,,,,,,,,,5 yıldız,2024 Xiaomi SU7 Max 673 HP (4X4) NCAP/ANCAP Web Sayfası,2024,Var,,,,4x4 Çekişli,,Otomatik,
,,1396 mm,2899 mm,1543 mm,,,,2024 Yuki AMY 5 BG (4x2),,,21.8 nm,,,,,100 km,4 kW,13.8 kWsa/100km,7 Saat,,,,,,45 km/s,21.8 nm,5 BG,Türkiye,,Binek,,Hatchback,2024,BEV (Elektrikli),,A,AMY,Elektrik,https://www.epey.com/araba/2024-yuki-amy-5-bg-4x2.html,,,,,,,,,,,,,,,,Önden Çekişli,,Otomatik,
1658 kg,10.50 mt.,1770 mm,4290 mm,1570 mm,,1329 lt,364 lt,2025 BYD Dolphin 204 HP Comfort (4x2),2025 BYD Dolphin 204 HP Comfort (4x2) Test Sürüşü Talep Sayfası,2025 BYD Dolphin 204 HP Comfort (4x2) Ürün Kataloğu,310 nm,60.4 kW/sa,BYD Blade Batarya (LFP),,427 km,559 km,150 kW,15.9 kWsa/100km,"AC (11 kW) (%0 - %100) 6sa.12dk.
DC (110 kW) (%10 - %80) 36dk.
DC (110 kW) (%30 - %80) 26dk.",,,,,7.0 saniye,160 km/s,310 nm,204 BG,Çin,,Binek,Comfort,Hatchback,2025,BEV (Elektrikli),,B,Dolphin,Elektrik,https://www.epey.com/araba/2025-byd-dolphin-204-hp-comfort-4x2.html,,,,,,,,,5 yıldız,2025 BYD Dolphin 204 HP Comfort (4x2) NCAP/ANCAP Web Sayfası,2023,Var,,,,Önden Çekişli,,Otomatik,
1658 kg,10.50 mt.,1770 mm,4290 mm,1570 mm,,1329 lt,364 lt,2025 BYD Dolphin 204 HP Design (4x2),2025 BYD Dolphin 204 HP Design (4x2) Test Sürüşü Talep Sayfası,2025 BYD Dolphin 204 HP Design (4x2) Ürün Kataloğu,310 nm,60.4 kW/sa,BYD Blade Batarya (LFP),,427 km,559 km,150 kW,15.9 kWsa/100km,"AC (11 kW) (%0 - %100) 6sa.12dk.
DC (110 kW) (%10 - %80) 36dk.
DC (110 kW) (%30 - %80) 26dk.",,,,,7.0 saniye,160 km/s,310 nm,204 BG,Çin,,Binek,Design,Hatchback,2025,BEV (Elektrikli),,B,Dolphin,Elektrik,https://www.epey.com/araba/2025-byd-dolphin-204-hp-design-4x2.html,,,,,,,,,5 yıldız,2025 BYD Dolphin 204 HP Design (4x2) NCAP/ANCAP Web Sayfası,2023,Var,,,,Önden Çekişli,,Otomatik,
1940 kg,,1890 mm,4775 mm,1670 mm,,1440 lt,425 lt,2025 BYD Seal U DM-i PHEV 1.5 Design 218 HP (4x2),2025 BYD Seal U DM-i PHEV 1.5 Design 218 HP (4x2) Test Sürüşü Talep Sayfası,2025 BYD Seal U DM-i PHEV 1.5 Design 218 HP (4x2) Ürün Kataloğu,300 nm,18.3 kW/sa,BYD Blade Batarya (LFP),,80 km,113 km,145 kW,21.0 kWsa/100km,"AC (11 kW) (%15 - %100) 120dk.
DC (18 kW) (%30 - %80) 35dk.",Atmosferik,4,1498 cc,Çok Noktadan Enjeksiyon,8.9 saniye,170 km/s,300 nm,218 BG,Çin,,Binek,Design,SUV,2025,PHEV (Prizden Şarjlı HEV),,D,Seal U DM-i,Benzin & Elektrik,https://www.epey.com/araba/2025-byd-seal-u-dm-i-phev-1-5-design-218-hp-4x2.html,,20.5 g/km,3.3 lt,,60 lt,,,,5 yıldız,2025 BYD Seal U DM-i PHEV 1.5 Design 218 HP (4x2) NCAP/ANCAP Web Sayfası,2023,Var,,,,Önden Çekişli,,Otomatik,e-CVT
