MARKA,MODEL
Alfa Romeo,"Giulia Quadrifoglio, Junior Elettrica, Junior Ibrida, Tonale"
Aston Martin,"DB11, DBS, DBX, Rapide, Vanquish, Vantage"
Audi,"A6 E-Tron, E-Tron GT, E-Tron Sportback, Q3 Sportback, Q4 E-tron, Q4 Sportback, Q5 Sportback, Q6 E-tron, Q8 E-tron, Q8 E-tron Sportback, R8, RS Q8, S Serisi, SQ7"
BMW,"8 Serisi, M , M SERİSİ, X1 , X1 SERİSİ, X2 , X2 SERİSİ, X3 , X3 SERİSİ, X4 , X4 SERİSİ, X5 , X5 SERİSİ, X6 , X6 SERİSİ, X7 , X7 SERİSİ, Z , Z SERİSİ, i , i SERİSİ, iX , iX SERİSİ, iX1 , iX1 SERİSİ, iX2 , iX2 SERİSİ, iX3 , iX3 SERİSİ"
BYD,"Atto 3 EV, Seal U EV, Tang"
Bentley,"Bentayga, Flying Spur"
Cadillac,Escalade
Chery,"Omoda 5, Omoda 5 Pro, Tiggo 7 Pro, Tiggo 7 Pro Max, Tiggo 8 Pro, Tiggo 8 Pro Max, Tiggo7, Tiggo8"
Chevrolet,"Camaro, Corvette, Impala, Silverado, Suburban, Tahoe"
Chrysler,Pacifica
Citroën,"AMI, Berlingo, C-Elysée, C1, C3, C3 AirCross, C3 AirCross Elektrik, C4, C4 Cactus, C4 Grand Picasso, C4 Picasso, C4 X, C5, C5 AirCross, Jumper, Jumpy, Nemo, e-C3, e-C4, e-C4 X"
Cupra,"Ateca, Born, Terramar"
DS Automobiles,"DS 3, DS 3 Crossback, DS 4, DS 5, DS 7 Crossback, DS 9"
Dacia,"Jogger, Logan"
Dodge,"Challenger, Charger, Durango, Journey, Ram"
Ferrari,"296, 458, 488, California, F8, Portofino, Purosangue, Roma, SF90"
Fiat,"124 Spider, 500 Ailesi, 500 X, 600, 600e, Doblo Combi Mix, Fiorino Combi Mix, Fullback, Panda, Scudo, Ulysse, e-Doblo Panorama"
Ford,"Bronco, E-Transit, E-Transit Custom, Escape, Expedition, Explorer, F, Galaxy, Mustang Mach-E, Puma-E, Ranger Raptor, S-Max, Transit, Transit Connect"
GMC,"Canyon, Hummer, Sierra, Terrain"
Honda,"E, NSX, ZR-V"
Hyundai,"Genesis, H 100, H 350, Inster, Ioniq 5 N, Kona Elektrik, Staria, i20 N, i20 Troy"
Isuzu,D-Max
Jaecoo,J7
Jaguar,"E-Pace, F-Type, I-Pace, XE, XJ"
Jeep,"Avenger Electric, Avenger Hybrid, Cherokee, Compass, Grand Cherokee, Renegade, Wrangler"
Kia,"Carens, EV9"
Lamborghini,"Revuelto, Urus"
Lexus,"CT, ES, GS, IS, LBX, LM, LS, NX, RC, RX, RX L, RZ, RZ 450e"
MG,"EHS, HS, MG3, MG7, ZS"
Maserati,"GranCabrio E, GranTurismo, GranTurismo E, Grecale, MC20, Quattroporte"
Mazda,MX
McLaren,"720S, Artura, GT"
Mercedes-Benz,"A Serisi, B Serisi, C Serisi, CLE, CLS, Citan, E Serisi, EQC, EQE, EQS, EQS SUV, EQV, G Serisi, GLB, GLC Coupe, GLE Coupe, S Serisi, Sprinter Panel Van, V-Class, Vito Mixto/Kombi, Vito Tourer, Vito Tourer Select, X"
Mini,"Cooper, Cooper Electric, Cooper S, Cooper SD, Countryman, Countryman E, John Cooper, Paceman"
Mitsubishi,L 200
Nissan,"GT-R, Z"
Opel,"Astra-e, Combo, Combo Cargo, Combo Life, Corsa-e, Crossland, Frontera-e, Grandland-e, Mokka-e, Movano, Vivaro, Zafira, Zafira Life, e-Zafira"
Peugeot,"405, Bipper, Expert, Partner, e-2008, e-208, e-3008, e-308, e-5008"
Porsche,"Cayenne Coupe, Macan (Elektrikli), Taycan"
Renault,"Espace, Kangoo E-Tech, Kangoo Express, R5 E-Tech, Rafale, Twizy"
Rolls-Royce,"Cullinan, Spectre, Wraith"
Seat,"Altea, Tarraco"
Skoda,"Elroq, Enyaq, Enyaq Coupe, Roomster"
Skywell,ET5
Smart,"Forfour, Fortwo"
SsangYong,"Actyon, Korando, Korando Sports, Musso, Musso Grand, Rexton, Rodius, Tivoli, Torres, Torres EVX, XLV"
Subaru,"Crosstrek, Solterra"
Suzuki,Across
TOGG,T10X
Toyota,"Prius, Supra"
Volkswagen,"California, Grand California, ID. Buzz, ID.3, ID.4, ID.6, ID.7, Multivan, Passat Alltrack, Sharan, T-Cross, Tayron, Tiguan AllSpace, Touran, Up Club, VW CC"
Volvo,"EX40, V60 Cross Country, V70, V90, V90 Cross Country, XC70"
