BASLIK,TEMEL OZELLIKLER - Yakit Tipi,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Menzil (WLTP - Birlesik),MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici),MOTOR (Elektrikli) - Motor Gucu,MOTOR (Elektrikli) - Ortalama Tuketim (Elk.),MOTOR (Elektrikli) - Sarj Suresi,AGIRLIK & OLCULER - Agirlik,BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk),BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk),DIS GOVDE - Kapi Sayisi,LASTIK & JANT - Kesit Orani,LASTIK & JANT - Lastik Ebatlari,LASTIK & JANT - Taban Genisligi,LASTIK & JANT - Jant Capi,LASTIK & JANT - Jant Tipi,FRENLER & SUSPANSIYON - Park Freni Tipi,SANZIMAN & CEKIS SISTEMI - Cekis,SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi,SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi,SANZIMAN & CEKIS SISTEMI - Sanziman Ozellikleri,SANZIMAN & CEKIS SISTEMI - Sanziman Turu,SURUS DESTEK SISTEMLERI - Denge Kontrol Sistemi,SURUS DESTEK SISTEMLERI - Diferansiyel Kilidi,SURUS DESTEK SISTEMLERI - Dur & Kalk (Stop & Start),SURUS DESTEK SISTEMLERI - Hiz Sabitleme & Sinirlama,SURUS DESTEK SISTEMLERI - Serit Takip Sistemi,SURUS DESTEK SISTEMLERI - Yokus Kalkis Destegi,YAKIT TUKETIMI & EMISYON - Cevre Standardi (Emisyon),YAKIT TUKETIMI & EMISYON - Ortalama Emisyon,YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km),YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km/WLTP),YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km),YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km),YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi,YOLCU EMNIYETI - Anahtarsiz Sistem,YOLCU EMNIYETI - Hava Yastigi Adedi,YOLCU EMNIYETI - NCAP/ANCAP Puani,GOSTERGELER & SENSORLER - Far Sensoru,GOSTERGELER & SENSORLER - Lastik Basinc Sensoru,GOSTERGELER & SENSORLER - Park Sensoru & Yardimi,GOSTERGELER & SENSORLER - Yagmur Sensoru,ISITMA & SOGUTMA - Klima,KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi,KOLTUKLAR & IC DOSEME - Koltuk Sayisi,KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari,KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari,LAMBALAR & AYDINLATMA - Far Tipi,LAMBALAR & AYDINLATMA - Sis Farlari
2018 Fiat 500C 1.2 Fire 69 HP Dualogic Lounge,Benzin,,,,,,,,,940 kg,550 lt,185 lt,3.0,55 %,185/55 R15,185 mm,15 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,5 ileri,Dualogic (Yari Otm.),Otomatik,Var,,,,,Var,,115 g/km,4.9 lt,,4.2 lt,6.2 lt,35 lt,,7 adet,5 yildiz,,Var,Var,,Otomatik Klima,Kumas,4.0,Manuel,Manuel,Halojen,Var
2015 Fiat 500C 0.9 Twinair 105 HP Sport,Benzin,,,,,,,,,980 kg,550 lt,185 lt,3.0,55 %,185/55 R15,185 mm,15 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,6 ileri,,Manuel,Var,,Yok,,,Var,,112 g/km,4.2 lt,,3.5 lt,5.5 lt,35 lt,,7 adet,3 yildiz,Yok,Yok,Var,Yok,Otomatik Klima,Kumas,4.0,Manuel,Manuel,Halojen,Var
2015 Fiat 500C 1.2 Fire 69 HP Dualogic Cult,Benzin,,,,,,,,,905 kg,550 lt,185 lt,3.0,45 %,195/45 R16,195 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Yok,5 ileri,Dualogic (Yari Otm.),Otomatik,Yok,,Yok,,,,,118 g/km,5.0 lt,,4.3 lt,6.2 lt,35 lt,,7 adet,3 yildiz,Yok,Yok,Var,Yok,Otomatik Klima,Deri,4.0,Manuel,Manuel,Halojen,Var
2015 Fiat 500C 1.2 Fire 69 HP Dualogic Lounge,Benzin,,,,,,,,,905 kg,550 lt,185 lt,3.0,55 %,185/55 R15,185 mm,15 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Yok,5 ileri,Dualogic (Yari Otm.),Otomatik,Yok,,Yok,,,,,118 g/km,5.0 lt,,4.3 lt,6.2 lt,35 lt,,7 adet,3 yildiz,Yok,Yok,Var,Yok,Otomatik Klima,Kumas,4.0,Manuel,Manuel,Halojen,Var
2015 Fiat 500C 1.2 Fire 69 HP Dualogic Cult,Benzin,,,,,,,,,940 kg,550 lt,185 lt,3.0,45 %,195/45 R16,195 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,5 ileri,Dualogic (Yari Otm.),Otomatik,Var,,Yok,,,Var,Euro 6,111 g/km,4.8 lt,,4.1 lt,6.0 lt,35 lt,,7 adet,3 yildiz,Yok,Var,Var,Yok,Otomatik Klima,Deri,4.0,Manuel,Manuel,Halojen,Var
2015 Fiat 500C 1.2 Fire 69 HP Dualogic Lounge,Benzin,,,,,,,,,940 kg,550 lt,185 lt,3.0,55 %,185/55 R15,185 mm,15 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,5 ileri,Dualogic (Yari Otm.),Otomatik,Var,,Yok,,,Var,Euro 6,111 g/km,4.8 lt,,4.1 lt,6.0 lt,35 lt,,7 adet,3 yildiz,Yok,Var,Var,Yok,Otomatik Klima,Kumas,4.0,Manuel,Manuel,Halojen,Var
2016 Fiat 500C 1.2 Fire 69 HP Dualogic Cult,Benzin,,,,,,,,,940 kg,550 lt,185 lt,3.0,45 %,195/45 R16,195 mm,16 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,5 ileri,Dualogic (Yari Otm.),Otomatik,Var,,,,,Var,,115 g/km,4.9 lt,,4.2 lt,6.2 lt,35 lt,,7 adet,3 yildiz,,Var,Var,,Otomatik Klima,Deri,4.0,Manuel,Manuel,Halojen,Var
2016 Fiat 500C 1.2 Fire 69 HP Dualogic Lounge,Benzin,,,,,,,,,940 kg,550 lt,185 lt,3.0,55 %,185/55 R15,185 mm,15 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,5 ileri,Dualogic (Yari Otm.),Otomatik,Var,,,,,Var,,115 g/km,4.9 lt,,4.2 lt,6.2 lt,35 lt,,7 adet,3 yildiz,,Var,Var,,Otomatik Klima,Kumas,4.0,Manuel,Manuel,Halojen,Var
2017 Fiat 500C 1.2 Fire 69 HP Dualogic Lounge,Benzin,,,,,,,,,940 kg,550 lt,185 lt,3.0,55 %,185/55 R15,185 mm,15 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Var,5 ileri,Dualogic (Yari Otm.),Otomatik,Var,,,,,Var,,115 g/km,4.9 lt,,4.2 lt,6.2 lt,35 lt,,7 adet,5 yildiz,,Var,Var,,Otomatik Klima,Kumas,4.0,Manuel,Manuel,Halojen,Var
2015 Opel Adam 1.0 Turbo Ecotec 115 HP Rocks,Benzin,,,,,,,,,1081 kg,663 lt,170 lt,3.0,45 %,215/45 R17,215 mm,17 inc,Alasimli,Mekanik Park Freni,Onden Cekisli,Yok,6 ileri,,Manuel,Var,,Yok,Var,,Var,,119 g/km,5.1 lt,,4.4 lt,6.3 lt,35 lt,,6 adet,4 yildiz,Yok,Yok,Yok,Yok,Otomatik Klima,Kumas & Deri,4.0,Manuel,Manuel,Halojen,Var
