MARKA,TEMEL OZELLIKLER - Seri,MODEL,TEMEL OZELLIKLER - Donanim Paketi,TEMEL OZELLIKLER - Arac Turu,TEMEL OZELLIKLER - Govde Tipi,TEMEL OZELLIKLER - Segment,TEMEL OZELLIKLER - Model Yili,TEMEL OZELLIKLER - Ait Oldugu Ulke,TEMEL OZELLIKLER - Motor Tipi,TEMEL OZELLIKLER - Motorlu Tasit Vergisi,TEMEL OZELLIKLER - Yakit Tipi,MOTOR (Icten Yanmali) - Besleme Tipi,MOTOR (Icten Yanmali) - Silindir Adedi,MOTOR (Icten Yanmali) - Silindir Hacmi,MOTOR (Icten Yanmali) - Yakit Puskurtme,PERFORMANS - Azami Hiz,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gucu (Toplam),PERFORMANS - 0 - 100 Km Hizlanma,AGIRLIK & OLCULER - Agirlik,AGIRLIK & OLCULER - Genislik,AGIRLIK & OLCULER - Uzunluk,AGIRLIK & OLCULER - Yukseklik,BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk),BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk),CAMLAR & AYNALAR - Acilir Tavan,CAMLAR & AYNALAR - Arka Yan Cam Ayarlari,CAMLAR & AYNALAR - Ic Dikiz Aynasi,CAMLAR & AYNALAR - On Yan Cam Ayarlari,CAMLAR & AYNALAR - Panoramik Cam Tavan,CAMLAR & AYNALAR - Yan Dikiz Aynalari,DIREKSIYON OZELLIKLERI - Direksiyon Ozellikleri,DIREKSIYON OZELLIKLERI - Direksiyon Sistemi,DIS GOVDE - Dis Govde Ozellikleri,DIS GOVDE - Kapi Sayisi,FRENLER & SUSPANSIYON - ABS Fren Sistemi,FRENLER & SUSPANSIYON - Arka Suspansiyonlar,FRENLER & SUSPANSIYON - Ayarlanir Suspansiyon,FRENLER & SUSPANSIYON - Fren Destek Sistemleri,FRENLER & SUSPANSIYON - On Suspansiyonlar,FRENLER & SUSPANSIYON - Park Freni Tipi,GOSTERGELER & SENSORLER - Far Sensoru,GOSTERGELER & SENSORLER - Gostergeler & Bildirimler,GOSTERGELER & SENSORLER - Lastik Basinc Sensoru,GOSTERGELER & SENSORLER - Park Sensoru & Yardimi,GOSTERGELER & SENSORLER - Yagmur Sensoru,ISITMA & SOGUTMA - Klima,ISITMA & SOGUTMA - Torpido Ozellikleri,KOLTUKLAR & IC DOSEME - Kol Dayama,KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi,KOLTUKLAR & IC DOSEME - Koltuk Isitma - Sogutma,KOLTUKLAR & IC DOSEME - Koltuk Sayisi,KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari,KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari,LAMBALAR & AYDINLATMA - Far Tipi,LAMBALAR & AYDINLATMA - Sis Farlari,LASTIK & JANT - Jant Capi,LASTIK & JANT - Jant Tipi,LASTIK & JANT - Kesit Orani,LASTIK & JANT - Lastik Ebatlari,LASTIK & JANT - Taban Genisligi,Başlık,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Garantisi,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Menzil,MOTOR (Elektrikli) - Menzil (WLTP - Birlesik),MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici),MOTOR (Elektrikli) - Motor Gucu,MOTOR (Elektrikli) - Ortalama Tuketim (Elk.),MOTOR (Elektrikli) - Sarj Suresi,MUZIK & EGLENCE - Harici Giris - Cikis,NAVIGASYON & BLUETOOTH - Bluetooth Telefon,NAVIGASYON & BLUETOOTH - Navigasyon,SANZIMAN & CEKIS SISTEMI - Cekis,SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Ozellikleri,SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi,SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi,SANZIMAN & CEKIS SISTEMI - Sanziman Ozellikleri,SANZIMAN & CEKIS SISTEMI - Sanziman Turu,SURUS DESTEK SISTEMLERI - Denge Kontrol Ozellikleri,SURUS DESTEK SISTEMLERI - Denge Kontrol Sistemi,SURUS DESTEK SISTEMLERI - Diferansiyel Kilidi,SURUS DESTEK SISTEMLERI - Dur & Kalk (Stop & Start),SURUS DESTEK SISTEMLERI - Hiz Sabitleme & Sinirlama,SURUS DESTEK SISTEMLERI - Serit Takip Sistemi,SURUS DESTEK SISTEMLERI - Yokus Kalkis Destegi,SURUS DESTEK SISTEMLERI - Yorgunluk Tespit Sistemi,TEMEL OZELLIKLER - Engelli Bireyler Icin OTV Muafiyeti,YAKIT TUKETIMI & EMISYON - Cevre Standardi (Emisyon),YAKIT TUKETIMI & EMISYON - Ortalama Emisyon,YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km),YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km/WLTP),YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km),YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km),YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi,YOLCU EMNIYETI - Anahtarsiz Sistem,YOLCU EMNIYETI - Carpisma Testi (NCAP/ANCAP),YOLCU EMNIYETI - Hava Yastigi,YOLCU EMNIYETI - Hava Yastigi Adedi,YOLCU EMNIYETI - Hava Yastigi Cesitleri,YOLCU EMNIYETI - NCAP/ANCAP Puani,YOLCU EMNIYETI - NCAP/ANCAP Yili
Alfa Romeo,Giulia,Giulia,Super,Binek,Sedan,Premium D,2018,Italya,Icten Yanmali (Standart),11674,Benzin,Turbo,4,1995 cc,Direkt Enjeksiyon,235 km/s,330 nm,200 BG,6.6 saniye,1429 kg,1860 mm,4639 mm,1436 mm,,480 lt,,,Otomatik Kararan,,,Elektrikli,Aluminyum Kapi Esik Citasi | Deri Direksiyon Simidi | Motor Calistirma Dugmesi,,Aluminyum Fren Kaliperleri | Krom Kapli Tek Egzoz Cikisi,4,,,,Entegre Fren Sistemi,,Elektronik Park Freni,Var,7 Inc TFT Renkli Gosterge Ekrani,Var,Var,Var,Otomatik Klima,,,Kumas & Deri,,5,Elektrikli,Elektrikli,Adaptif Bi-Xenon,,18 inc,Hafif Alasimli,,,,2018 Alfa Romeo Giulia 2.0 200 HP Otomatik Super,,,,,,,,,,,Var,Var,Var,Arkadan Itisli,,Var,8 ileri,,Otomatik,,,Var,Var,Var,Var,,,,Euro 6b,138 g/km,6.0 lt,,4.6 lt,8.4 lt,58 lt,Var,Var,Var,6 adet,On Yolcu Hava Yastigi | Perde Hava Yastiklari | Surucu Hava Yastigi | Yan Hava Yastiklari,5 yildiz,2016
Alfa Romeo,Giulia,Giulia,Veloce,Binek,Sedan,Premium D,2018,Italya,Icten Yanmali (Standart),11674,Benzin,Turbo,4,1995 cc,Direkt Enjeksiyon,240 km/s,400 nm,280 BG,5.2 saniye,1530 kg,1860 mm,4639 mm,1450 mm,,480 lt,,,Otomatik Kararan,,,Elektrikli,Aluminyum Kapi Esik Citasi | Deri Direksiyon Simidi | Isitmali Direksiyon Simidi | Motor Calistirma Dugmesi | Vites Kumandalari,,Kirmizi/Sari/Siyah Fren Kaliperleri | Krom Kapli Cift Egzoz Cikisi | Siyah Cam Citalari | Spor On & Arka Tamponlar,4,,Dinamik Suspansiyon,,Entegre Fren Sistemi,Alfa Aktif Suspansiyon Sistemi,Elektronik Park Freni,Var,7 Inc TFT Renkli Gosterge Ekrani,Var,Var,Var,Otomatik Klima,,,Deri,Isitmali On Yolcu Koltugu | Isitmali Surucu Koltugu,5,Elektrikli,Elektrikli,Adaptif Bi-Xenon,,18 inc,Hafif Alasimli,,,,2018 Alfa Romeo Giulia 2.0 280 HP AWD Otomatik Veloce (4x4),,,,,,,,,,,Var,Var,Var,4x4 Cekisli,Alfa Q4 Surekli Cekis Sistemi,Var,8 ileri,,Otomatik,,,Var,Var,Var,Var,,,,Euro 6b,148 g/km,6.4 lt,,4.9 lt,8.9 lt,58 lt,Var,Var,Var,6 adet,On Yolcu Hava Yastigi | Perde Hava Yastiklari | Surucu Hava Yastigi | Yan Hava Yastiklari,5 yildiz,2016
Alfa Romeo,Giulia,Giulia,Quadrifoglio Verde,Binek,Sedan,Premium D,2018,Italya,Icten Yanmali (Standart),29322,Benzin,Cift Turbo,6,2891 cc,Direkt Enjeksiyon,307 km/s,600 nm,510 BG,3.9 saniye,1620 kg,1860 mm,4639 mm,1426 mm,,480 lt,,,Otomatik Kararan,,,Elektrikli,Aluminyum Kapi Esik Citasi | Isitmali Direksiyon Simidi | Karbonfiber & Deri Direksiyon Simidi | Kirmizi Motor Calistirma Dugmesi | Vites Kumandalari,,Alfa Aktif Aerodinamik On Spoyler | Kirmizi/Sari/Siyah Fren Kaliperleri | Krom Kapli Dort Egzoz Cikisi | Ozel Arka Hava Kanali | Siyah Cam Citalari | Spor On & Arka Tamponlar,4,,Dinamik Suspansiyon,,Entegre Fren Sistemi,Alfa Aktif Suspansiyon Sistemi,Elektronik Park Freni,Var,7 Inc TFT Renkli Gosterge Ekrani,Var,Var,Var,Otomatik Klima,Sogutmali,,Deri,Isitmali On Yolcu Koltugu | Isitmali Surucu Koltugu,5,Elektrikli,Elektrikli,Adaptif Bi-Xenon,,19 inc,Hafif Alasimli,,,,2018 Alfa Romeo Giulia 2.9 510 HP Otomatik QV,,,,,,,,,,,Var,Var,Var,Arkadan Itisli,Alfa Aktif Tork Kontrol Sistemi,Var,8 ileri,,Otomatik,Alfa Aktif Sasi Kontrol Sistemi,Var,Var,Var,Var,Var,,,,Euro 6b,189 g/km,8.2 lt,,5.7 lt,12.4 lt,58 lt,Var,Var,Var,6 adet,On Yolcu Hava Yastigi | Perde Hava Yastiklari | Surucu Hava Yastigi | Yan Hava Yastiklari,5 yildiz,2016
Alfa Romeo,Giulietta,Giulietta,Super,Binek,Hatchback,C,2018,Italya,Icten Yanmali (Standart),3661,Benzin,Turbo,4,1368 cc,Cok Noktadan Enjeksiyon,218 km/s,250 nm,170 BG,7.7 saniye,1305 kg,1798 mm,4351 mm,1465 mm,1045 lt,350 lt,,Elektrikli,Otomatik Kararan,Elektrikli,,Elektrikli,Deri Direksiyon Simidi | Muzik Sistemi Kumanda Tuslari,Elektrik Destekli,Aluminyum Kapi Esikleri | Arka Ruzgarlik (Spoyler) | Krom Pencere Citalari,5,Var,,,BA (Fren Yardimcisi),,Mekanik Park Freni,Var,Beyaz Isikli Quadro Matrix Gostergeler,Var,Var,Var,Otomatik Klima,Sogutmali,Var,Kumas,,5,Manuel,Manuel,Xenon,Var,17 inc,Alasimli,45 %,225/45 R17,225 mm,2018 Alfa Romeo Giulietta 1.4 TB MultiAir 170 HP TCT Super,,,,,,,,,,,Var,Var,,Onden Cekisli,ASR (Patinaj Onleme Sistemi) | MSR (Elektronik Motor Cekis Kontrolu),Var,6 ileri,TCT (Yari Otm.),Otomatik,VDC (Arac Dinamikleri Kontrol Sistemi),Var,Var,Var,Var,,Var,,,Euro 6,114 g/km,4.9 lt,,4.1 lt,6.3 lt,60 lt,,Var,Var,6 adet,On Yolcu Hava Yastigi | Perde Hava Yastiklari | Surucu Hava Yastigi | Yan Hava Yastiklari,3 yildiz,2017
Alfa Romeo,Giulietta,Giulietta,Progression,Binek,Hatchback,C,2018,Italya,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1598 cc,Common Rail Direkt Enjeksiyon,195 km/s,320 nm,120 BG,10.0 saniye,1310 kg,1798 mm,4351 mm,1465 mm,1045 lt,350 lt,,Elektrikli,Standart,Elektrikli,,Elektrikli,Deri Direksiyon Simidi | Muzik Sistemi Kumanda Tuslari,Elektrik Destekli,Arka Ruzgarlik (Spoyler),5,Var,,,BA (Fren Yardimcisi),,Mekanik Park Freni,Yok,,Var,Var,Yok,Otomatik Klima,,Var,Kumas,,5,Manuel,Manuel,Halojen,Var,16 inc,Alasimli,45 %,225/45 R16,225 mm,2018 Alfa Romeo Giulietta 1.6 JTDM 120 HP Progression,,,,,,,,,,,Var,Var,,Onden Cekisli,ASR (Patinaj Onleme Sistemi) | MSR (Elektronik Motor Cekis Kontrolu),Var,6 ileri,,Manuel,VDC (Arac Dinamikleri Kontrol Sistemi),Var,Var,Var,Yok,,Var,,,Euro 6,103 g/km,3.9 lt,,3.3 lt,4.9 lt,60 lt,,Var,Var,6 adet,On Yolcu Hava Yastigi | Perde Hava Yastiklari | Surucu Hava Yastigi | Yan Hava Yastiklari,3 yildiz,2017
Alfa Romeo,Giulietta,Giulietta,Progression,Binek,Hatchback,C,2018,Italya,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1598 cc,Common Rail Direkt Enjeksiyon,195 km/s,320 nm,120 BG,10.2 saniye,1320 kg,1798 mm,4351 mm,1465 mm,1045 lt,350 lt,,Elektrikli,Standart,Elektrikli,,Elektrikli,Deri Direksiyon Simidi | Muzik Sistemi Kumanda Tuslari,Elektrik Destekli,Arka Ruzgarlik (Spoyler),5,Var,,,BA (Fren Yardimcisi),,Mekanik Park Freni,Yok,,Var,Var,Yok,Otomatik Klima,,Var,Kumas,,5,Manuel,Manuel,Halojen,Var,16 inc,Alasimli,45 %,225/45 R16,225 mm,2018 Alfa Romeo Giulietta 1.6 JTDM 120 HP TCT Progression,,,,,,,,,,,Var,Var,,Onden Cekisli,ASR (Patinaj Onleme Sistemi) | MSR (Elektronik Motor Cekis Kontrolu),Var,6 ileri,TCT (Yari Otm.),Otomatik,VDC (Arac Dinamikleri Kontrol Sistemi),Var,Var,Var,Yok,,Var,,,Euro 6,103 g/km,3.9 lt,,3.3 lt,4.9 lt,60 lt,,Var,Var,6 adet,On Yolcu Hava Yastigi | Perde Hava Yastiklari | Surucu Hava Yastigi | Yan Hava Yastiklari,3 yildiz,2017
Alfa Romeo,Giulietta,Giulietta,Super,Binek,Hatchback,C,2018,Italya,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1598 cc,Common Rail Direkt Enjeksiyon,195 km/s,320 nm,120 BG,10.2 saniye,1320 kg,1798 mm,4351 mm,1465 mm,1045 lt,350 lt,,Elektrikli,Otomatik Kararan,Elektrikli,,Elektrikli,Deri Direksiyon Simidi | Muzik Sistemi Kumanda Tuslari,Elektrik Destekli,Aluminyum Kapi Esikleri | Arka Ruzgarlik (Spoyler) | Krom Pencere Citalari,5,Var,,,BA (Fren Yardimcisi),,Mekanik Park Freni,Var,Beyaz Isikli Quadro Matrix Gostergeler,Var,Var,Var,Otomatik Klima,Sogutmali,Var,Kumas,,5,Manuel,Manuel,Xenon,Var,17 inc,Alasimli,45 %,225/45 R17,225 mm,2018 Alfa Romeo Giulietta 1.6 JTDM 120 HP TCT Super,,,,,,,,,,,Var,Var,,Onden Cekisli,ASR (Patinaj Onleme Sistemi) | MSR (Elektronik Motor Cekis Kontrolu),Var,6 ileri,TCT (Yari Otm.),Otomatik,VDC (Arac Dinamikleri Kontrol Sistemi),Var,Var,Var,Var,,Var,,,Euro 6,103 g/km,3.9 lt,,3.3 lt,4.9 lt,60 lt,,Var,Var,6 adet,On Yolcu Hava Yastigi | Perde Hava Yastiklari | Surucu Hava Yastigi | Yan Hava Yastiklari,3 yildiz,2017
Alfa Romeo,Giulietta,Giulietta,Progression Plus,Binek,Hatchback,C,2015,Italya,Icten Yanmali (Standart),3661,Benzin,Turbo,4,1368 cc,Cok Noktadan Enjeksiyon,195 km/s,215 nm,120 BG,9.4 saniye,1280 kg,1798 mm,4351 mm,1465 mm,1045 lt,350 lt,Yok,Elektrikli,Standart,Elektrikli,Yok,Elektrikli,Muzik Sistemi Kumanda Tuslari | Opak Siyah Panelli Deri Direksiyon Simidi,Elektrik Destekli,Arka Ruzgarlik (Spoyler),5,Var,,Yok,BA (Fren Yardimcisi) | CBC (Virajda Fren Kontrolu),Aluminyum Dirsekli | Bagimsiz MacPherson Suspansiyon | Piston Kolunda Denge Cubugu Yuvasi,Mekanik Park Freni,Yok,Dis Ortam Sicaklik Gostergesi,Var,Yok,Yok,Otomatik Klima,,Var,Kumas,,5,Manuel,Manuel,Halojen,Var,16 inc,Alasimli,55 %,205/55 R16,205 mm,2015 Alfa Romeo Giulietta 1.4 TB 120 HP Progression Plus,,,,,,,,,,,Var,Var,Yok,Onden Cekisli,ASR (Patinaj Onleme Sistemi) | MSR (Elektronik Motor Cekis Kontrolu),Var,6 ileri,,Manuel,VDC (Arac Dinamikleri Kontrol Sistemi),Var,Var,Var,,,Var,,,,148 g/km,6.4 lt,,5.3 lt,8.3 lt,60 lt,,Var,Var,6 adet,On Yolcu Hava Yastigi | Perde Hava Yastiklari | Surucu Hava Yastigi | Yan Hava Yastiklari,5 yildiz,2010
Alfa Romeo,Giulietta,Giulietta,Distinctive,Binek,Hatchback,C,2015,Italya,Icten Yanmali (Standart),3661,Benzin,Turbo,4,1368 cc,Cok Noktadan Enjeksiyon,218 km/s,250 nm,170 BG,7.6 saniye,1280 kg,1798 mm,4351 mm,1465 mm,1045 lt,350 lt,Yok,Elektrikli,Otomatik Kararan,Elektrikli,Yok,Elektrikli,Muzik Sistemi Kumanda Tuslari | Opak Siyah Panelli Deri Direksiyon Simidi,Elektrik Destekli,Aluminyum Kapi Esikleri | Arka Ruzgarlik (Spoyler) | Krom Pencere Citalari,5,Var,,Yok,BA (Fren Yardimcisi) | CBC (Virajda Fren Kontrolu),Aluminyum Dirsekli | Bagimsiz MacPherson Suspansiyon | Piston Kolunda Denge Cubugu Yuvasi,Mekanik Park Freni,Var,Beyaz Isikli Quadro Matrix Gostergeler | Dis Ortam Sicaklik Gostergesi,Var,Var,Var,Otomatik Klima,Sogutmali,Var,Kumas,,5,Manuel,Manuel,Halojen,Var,17 inc,Alasimli,45 %,225/45 R17,225 mm,2015 Alfa Romeo Giulietta 1.4 TB 170 HP MultiAir TCT Distinctive,,,,,,,,,,,Var,Var,Yok,Onden Cekisli,ASR (Patinaj Onleme Sistemi) | MSR (Elektronik Motor Cekis Kontrolu),Var,6 ileri,TCT (Yari Otm.),Otomatik,VDC (Arac Dinamikleri Kontrol Sistemi),Var,Var,Var,Var,,Var,,,,148 g/km,6.4 lt,,5.3 lt,8.3 lt,60 lt,,Var,Var,6 adet,On Yolcu Hava Yastigi | Perde Hava Yastiklari | Surucu Hava Yastigi | Yan Hava Yastiklari,5 yildiz,2010
Alfa Romeo,Giulietta,Giulietta,Distinctive,Binek,Hatchback,C,2015,Italya,Icten Yanmali (Standart),3661,Dizel,Turbo,4,1598 cc,Common Rail Direkt Enjeksiyon,185 km/s,320 nm,105 BG,11.3 saniye,1310 kg,1798 mm,4351 mm,1465 mm,1045 lt,350 lt,Yok,Elektrikli,Otomatik Kararan,Elektrikli,Yok,Elektrikli,Muzik Sistemi Kumanda Tuslari | Opak Siyah Panelli Deri Direksiyon Simidi,Elektrik Destekli,Aluminyum Kapi Esikleri | Arka Ruzgarlik (Spoyler) | Krom Pencere Citalari,5,Var,,Yok,BA (Fren Yardimcisi) | CBC (Virajda Fren Kontrolu),Aluminyum Dirsekli | Bagimsiz MacPherson Suspansiyon | Piston Kolunda Denge Cubugu Yuvasi,Mekanik Park Freni,Var,Beyaz Isikli Quadro Matrix Gostergeler | Dis Ortam Sicaklik Gostergesi,Var,Var,Var,Otomatik Klima,Sogutmali,Var,Kumas,,5,Manuel,Manuel,Halojen,Var,17 inc,Alasimli,45 %,225/45 R17,225 mm,2015 Alfa Romeo Giulietta 1.6 JTD 105 HP Distinctive,,,,,,,,,,,Var,Var,Yok,Onden Cekisli,ASR (Patinaj Onleme Sistemi) | MSR (Elektronik Motor Cekis Kontrolu),Var,6 ileri,,Manuel,VDC (Arac Dinamikleri Kontrol Sistemi),Var,Var,Var,Var,,Var,,,,104 g/km,4.0 lt,,3.4 lt,5.0 lt,60 lt,,Var,Var,6 adet,On Yolcu Hava Yastigi | Perde Hava Yastiklari | Surucu Hava Yastigi | Yan Hava Yastiklari,5 yildiz,2010
