BASLIK,MARKA,TEMEL OZELLIKLER - Seri,MODEL,TEMEL OZELLIKLER - Donanim Paketi,TEMEL OZELLIKLER - Arac Turu,TEMEL OZELLIKLER - Govde Tipi,TEMEL OZELLIKLER - Segment,TEMEL OZELLIKLER - Model Yili,TEMEL OZELLIKLER - Ait Oldugu Ulke,TEMEL OZELLIKLER - Motor Tipi,TEMEL OZELLIKLER - Motorlu Tasit Vergisi,TEMEL OZELLIKLER - Yakit Tipi,MOTOR (Icten Yanmali) - Besleme Tipi,MOTOR (Icten Yanmali) - Silindir Adedi,MOTOR (Icten Yanmali) - Silindir Hacmi,MOTOR (Icten Yanmali) - Yakit Puskurtme,PERFORMANS - Azami Hiz,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gucu (Toplam),PERFORMANS - 0 - 100 Km Hizlanma,AGIRLIK & OLCULER - Agirlik,AGIRLIK & OLCULER - Genislik,AGIRLIK & OLCULER - Uzunluk,AGIRLIK & OLCULER - Yukseklik,BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk),BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk),DIS GOVDE - Kapi Sayisi,FRENLER & SUSPANSIYON - Park Freni Tipi,GOSTERGELER & SENSORLER - Far Sensoru,GOSTERGELER & SENSORLER - Lastik Basinc Sensoru,GOSTERGELER & SENSORLER - Park Sensoru & Yardimi,GOSTERGELER & SENSORLER - Yagmur Sensoru,ISITMA & SOGUTMA - Klima,KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi,KOLTUKLAR & IC DOSEME - Koltuk Sayisi,KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari,KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari,LAMBALAR & AYDINLATMA - Far Tipi,LAMBALAR & AYDINLATMA - Sis Farlari,LASTIK & JANT - Jant Capi,LASTIK & JANT - Jant Tipi,LASTIK & JANT - Kesit Orani,LASTIK & JANT - Lastik Ebatlari,LASTIK & JANT - Taban Genisligi,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Garantisi,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Menzil (WLTP - Birlesik),MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici),MOTOR (Elektrikli) - Motor Gucu,MOTOR (Elektrikli) - Ortalama Tuketim (Elk.),MOTOR (Elektrikli) - Sarj Suresi,SANZIMAN & CEKIS SISTEMI - Cekis,SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi,SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi,SANZIMAN & CEKIS SISTEMI - Sanziman Ozellikleri,SANZIMAN & CEKIS SISTEMI - Sanziman Turu,SURUS DESTEK SISTEMLERI - Denge Kontrol Sistemi,SURUS DESTEK SISTEMLERI - Diferansiyel Kilidi,SURUS DESTEK SISTEMLERI - Dur & Kalk (Stop & Start),SURUS DESTEK SISTEMLERI - Hiz Sabitleme & Sinirlama,SURUS DESTEK SISTEMLERI - Serit Takip Sistemi,SURUS DESTEK SISTEMLERI - Yokus Kalkis Destegi,YAKIT TUKETIMI & EMISYON - Cevre Standardi (Emisyon),YAKIT TUKETIMI & EMISYON - Ortalama Emisyon,YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km),YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km/WLTP),YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km),YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km),YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi,YOLCU EMNIYETI - Anahtarsiz Sistem,YOLCU EMNIYETI - Hava Yastigi Adedi,YOLCU EMNIYETI - NCAP/ANCAP Puani
2018 Fiat 500C 1.2 Fire 69 HP Dualogic Lounge,Fiat,500C,500C,Lounge,Binek,Cabrio,A,2018,Italya,Icten Yanmali (Standart),1882,Benzin,Atmosferik,4,1242 cc,Cok Noktadan Enjeksiyon,160 km/s,102 nm,69 BG,12.9 saniye,940 kg,1627 mm,3546 mm,1488 mm,550 lt,185 lt,3.0,Mekanik Park Freni,,Var,Var,,Otomatik Klima,Kumas,4.0,Manuel,Manuel,Halojen,Var,15 inc,Alasimli,55 %,185/55 R15,185 mm,,,,,,,,,,Onden Cekisli,Var,5 ileri,Dualogic (Yari Otm.),Otomatik,Var,,,,,Var,,115 g/km,4.9 lt,,4.2 lt,6.2 lt,35 lt,,7 adet,5 yildiz
2015 Fiat 500C 0.9 Twinair 105 HP Sport,Fiat,500C,500C,Sport,Binek,Cabrio,A,2015,Italya,Icten Yanmali (Standart),1882,Benzin,Turbo,2,875 cc,Cok Noktadan Enjeksiyon,188 km/s,145 nm,105 BG,10.0 saniye,980 kg,1627 mm,3546 mm,1488 mm,550 lt,185 lt,3.0,Mekanik Park Freni,Yok,Yok,Var,Yok,Otomatik Klima,Kumas,4.0,Manuel,Manuel,Halojen,Var,15 inc,Alasimli,55 %,185/55 R15,185 mm,,,,,,,,,,Onden Cekisli,Var,6 ileri,,Manuel,Var,,Yok,,,Var,,112 g/km,4.2 lt,,3.5 lt,5.5 lt,35 lt,,7 adet,3 yildiz
2015 Fiat 500C 1.2 Fire 69 HP Dualogic Cult,Fiat,500C,500C,Cult,Binek,Cabrio,A,2015,Italya,Icten Yanmali (Standart),1882,Benzin,Atmosferik,4,1242 cc,Cok Noktadan Enjeksiyon,160 km/s,102 nm,69 BG,12.9 saniye,905 kg,1627 mm,3546 mm,1488 mm,550 lt,185 lt,3.0,Mekanik Park Freni,Yok,Yok,Var,Yok,Otomatik Klima,Deri,4.0,Manuel,Manuel,Halojen,Var,16 inc,Alasimli,45 %,195/45 R16,195 mm,,,,,,,,,,Onden Cekisli,Yok,5 ileri,Dualogic (Yari Otm.),Otomatik,Yok,,Yok,,,,,118 g/km,5.0 lt,,4.3 lt,6.2 lt,35 lt,,7 adet,3 yildiz
2015 Fiat 500C 1.2 Fire 69 HP Dualogic Lounge,Fiat,500C,500C,Lounge,Binek,Cabrio,A,2015,Italya,Icten Yanmali (Standart),1882,Benzin,Atmosferik,4,1242 cc,Cok Noktadan Enjeksiyon,160 km/s,102 nm,69 BG,12.9 saniye,905 kg,1627 mm,3546 mm,1488 mm,550 lt,185 lt,3.0,Mekanik Park Freni,Yok,Yok,Var,Yok,Otomatik Klima,Kumas,4.0,Manuel,Manuel,Halojen,Var,15 inc,Alasimli,55 %,185/55 R15,185 mm,,,,,,,,,,Onden Cekisli,Yok,5 ileri,Dualogic (Yari Otm.),Otomatik,Yok,,Yok,,,,,118 g/km,5.0 lt,,4.3 lt,6.2 lt,35 lt,,7 adet,3 yildiz
2015 Fiat 500C 1.2 Fire 69 HP Dualogic Cult,Fiat,500C,500C,Cult,Binek,Cabrio,A,2015,Italya,Icten Yanmali (Standart),1882,Benzin,Atmosferik,4,1242 cc,Cok Noktadan Enjeksiyon,160 km/s,102 nm,69 BG,12.9 saniye,940 kg,1627 mm,3546 mm,1488 mm,550 lt,185 lt,3.0,Mekanik Park Freni,Yok,Var,Var,Yok,Otomatik Klima,Deri,4.0,Manuel,Manuel,Halojen,Var,16 inc,Alasimli,45 %,195/45 R16,195 mm,,,,,,,,,,Onden Cekisli,Var,5 ileri,Dualogic (Yari Otm.),Otomatik,Var,,Yok,,,Var,Euro 6,111 g/km,4.8 lt,,4.1 lt,6.0 lt,35 lt,,7 adet,3 yildiz
2015 Fiat 500C 1.2 Fire 69 HP Dualogic Lounge,Fiat,500C,500C,Lounge,Binek,Cabrio,A,2015,Italya,Icten Yanmali (Standart),1882,Benzin,Atmosferik,4,1242 cc,Cok Noktadan Enjeksiyon,160 km/s,102 nm,69 BG,12.9 saniye,940 kg,1627 mm,3546 mm,1488 mm,550 lt,185 lt,3.0,Mekanik Park Freni,Yok,Var,Var,Yok,Otomatik Klima,Kumas,4.0,Manuel,Manuel,Halojen,Var,15 inc,Alasimli,55 %,185/55 R15,185 mm,,,,,,,,,,Onden Cekisli,Var,5 ileri,Dualogic (Yari Otm.),Otomatik,Var,,Yok,,,Var,Euro 6,111 g/km,4.8 lt,,4.1 lt,6.0 lt,35 lt,,7 adet,3 yildiz
2016 Fiat 500C 1.2 Fire 69 HP Dualogic Cult,Fiat,500C,500C,Cult,Binek,Cabrio,A,2016,Italya,Icten Yanmali (Standart),1882,Benzin,Atmosferik,4,1242 cc,Cok Noktadan Enjeksiyon,160 km/s,102 nm,69 BG,12.9 saniye,940 kg,1627 mm,3546 mm,1488 mm,550 lt,185 lt,3.0,Mekanik Park Freni,,Var,Var,,Otomatik Klima,Deri,4.0,Manuel,Manuel,Halojen,Var,16 inc,Alasimli,45 %,195/45 R16,195 mm,,,,,,,,,,Onden Cekisli,Var,5 ileri,Dualogic (Yari Otm.),Otomatik,Var,,,,,Var,,115 g/km,4.9 lt,,4.2 lt,6.2 lt,35 lt,,7 adet,3 yildiz
2016 Fiat 500C 1.2 Fire 69 HP Dualogic Lounge,Fiat,500C,500C,Lounge,Binek,Cabrio,A,2016,Italya,Icten Yanmali (Standart),1882,Benzin,Atmosferik,4,1242 cc,Cok Noktadan Enjeksiyon,160 km/s,102 nm,69 BG,12.9 saniye,940 kg,1627 mm,3546 mm,1488 mm,550 lt,185 lt,3.0,Mekanik Park Freni,,Var,Var,,Otomatik Klima,Kumas,4.0,Manuel,Manuel,Halojen,Var,15 inc,Alasimli,55 %,185/55 R15,185 mm,,,,,,,,,,Onden Cekisli,Var,5 ileri,Dualogic (Yari Otm.),Otomatik,Var,,,,,Var,,115 g/km,4.9 lt,,4.2 lt,6.2 lt,35 lt,,7 adet,3 yildiz
2017 Fiat 500C 1.2 Fire 69 HP Dualogic Lounge,Fiat,500C,500C,Lounge,Binek,Cabrio,A,2017,Italya,Icten Yanmali (Standart),1882,Benzin,Atmosferik,4,1242 cc,Cok Noktadan Enjeksiyon,160 km/s,102 nm,69 BG,12.9 saniye,940 kg,1627 mm,3546 mm,1488 mm,550 lt,185 lt,3.0,Mekanik Park Freni,,Var,Var,,Otomatik Klima,Kumas,4.0,Manuel,Manuel,Halojen,Var,15 inc,Alasimli,55 %,185/55 R15,185 mm,,,,,,,,,,Onden Cekisli,Var,5 ileri,Dualogic (Yari Otm.),Otomatik,Var,,,,,Var,,115 g/km,4.9 lt,,4.2 lt,6.2 lt,35 lt,,7 adet,5 yildiz
2015 Opel Adam 1.0 Turbo Ecotec 115 HP Rocks,Opel,Adam,Adam,Rocks,Binek,Cabrio,A,2015,Almanya,Icten Yanmali (Standart),1882,Benzin,Turbo,3,999 cc,Cok Noktadan Enjeksiyon,196 km/s,170 nm,115 BG,9.9 saniye,1081 kg,1720 mm,3698 mm,1484 mm,663 lt,170 lt,3.0,Mekanik Park Freni,Yok,Yok,Yok,Yok,Otomatik Klima,Kumas & Deri,4.0,Manuel,Manuel,Halojen,Var,17 inc,Alasimli,45 %,215/45 R17,215 mm,,,,,,,,,,Onden Cekisli,Yok,6 ileri,,Manuel,Var,,Yok,Var,,Var,,119 g/km,5.1 lt,,4.4 lt,6.3 lt,35 lt,,6 adet,4 yildiz
